Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-28";"Vente";"729700";"None";"None";"None";"B068";"L ORTILLE";"60200";"COMPIEGNE";"60";"159";"None";"E";"64";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"BR";"None";"3840";"601590000E0064";"60159";"0000E";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-28";"Vente";"729700";"None";"None";"None";"B068";"L ORTILLE";"60200";"COMPIEGNE";"60";"159";"None";"E";"56";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"BF";"None";"15200";"601590000E0056";"60159";"0000E";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-28";"Vente";"729700";"None";"None";"None";"B068";"L ORTILLE";"60200";"COMPIEGNE";"60";"159";"None";"E";"55";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AG";"None";"28135";"601590000E0055";"60159";"0000E";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-28";"Vente";"729700";"None";"None";"None";"B068";"L ORTILLE";"60200";"COMPIEGNE";"60";"159";"None";"E";"55";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"BF";"None";"4350";"601590000E0055";"60159";"0000E";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-28";"Vente";"729700";"None";"None";"None";"B068";"L ORTILLE";"60200";"COMPIEGNE";"60";"159";"None";"E";"54";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"VE";"None";"1680";"601590000E0054";"60159";"0000E";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-28";"Vente";"729700";"None";"None";"None";"B068";"L ORTILLE";"60200";"COMPIEGNE";"60";"159";"None";"E";"53";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"E";"ETANG";"3300";"601590000E0053";"60159";"0000E";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-28";"Vente";"729700";"9002";"None";"VC";"2518";"MOULIN DE L ORTILLE";"60200";"COMPIEGNE";"60";"159";"None";"E";"52";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"165.0";"5.0";"S";"None";"1210";"601590000E0052";"60159";"0000E";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-28";"Vente";"729700";"9002";"None";"VC";"2518";"MOULIN DE L ORTILLE";"60200";"COMPIEGNE";"60";"159";"None";"E";"52";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"297.0";"8.0";"S";"None";"1210";"601590000E0052";"60159";"0000E";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-28";"Vente";"729700";"None";"None";"None";"B068";"L ORTILLE";"60200";"COMPIEGNE";"60";"159";"None";"E";"51";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AG";"None";"1680";"601590000E0051";"60159";"0000E";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-28";"Vente";"729700";"None";"None";"None";"B068";"L ORTILLE";"60200";"COMPIEGNE";"60";"159";"None";"E";"50";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AG";"None";"2080";"601590000E0050";"60159";"0000E";0
