Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000002";"2017-02-01";"Vente";"220000";"None";"None";"CHE";"0214";"D ARMANCOURT";"60200";"COMPIEGNE";"60";"159";"None";"AB";"112";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"602";"60159000AB0112";"60159";"000AB";0
"None";"None";"None";"None";"None";"None";"None";"000002";"2017-02-01";"Vente";"220000";"6";"None";"CHE";"0214";"D ARMANCOURT";"60200";"COMPIEGNE";"60";"159";"None";"AB";"107";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"245.0";"0.0";"S";"None";"260";"60159000AB0107";"60159";"000AB";0
"None";"None";"None";"None";"None";"None";"None";"000002";"2017-02-01";"Vente";"220000";"6";"None";"CHE";"0214";"D ARMANCOURT";"60200";"COMPIEGNE";"60";"159";"None";"AB";"107";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"85.0";"0.0";"S";"None";"260";"60159000AB0107";"60159";"000AB";0
"None";"None";"None";"None";"None";"None";"None";"000002";"2017-02-01";"Vente";"220000";"6";"None";"CHE";"0214";"D ARMANCOURT";"60200";"COMPIEGNE";"60";"159";"None";"AB";"107";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"190.0";"0.0";"S";"None";"260";"60159000AB0107";"60159";"000AB";0
"None";"None";"None";"None";"None";"None";"None";"000002";"2017-02-01";"Vente";"220000";"6";"None";"CHE";"0214";"D ARMANCOURT";"60200";"COMPIEGNE";"60";"159";"None";"AB";"107";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"100.0";"0.0";"S";"None";"260";"60159000AB0107";"60159";"000AB";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-10-27";"Vente";"273300";"None";"None";"None";"B042";"LE HAZOY";"60200";"COMPIEGNE";"60";"159";"None";"AB";"105";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AB";"None";"4555";"60159000AB0105";"60159";"000AB";5
"None";"None";"None";"None";"None";"None";"None";"000002";"2016-07-22";"Vente";"380000";"None";"None";"None";"B042";"LE HAZOY";"60200";"COMPIEGNE";"60";"159";"None";"AB";"106";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AB";"None";"7532";"60159000AB0106";"60159";"000AB";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-06-27";"Vente";"27631";"None";"None";"None";"B042";"LE HAZOY";"60200";"COMPIEGNE";"60";"159";"None";"AB";"85";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"479";"60159000AB0085";"60159";"000AB";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-06-27";"Vente";"27631";"28";"None";"RUE";"1292";"DU FONDS PERNANT";"60200";"COMPIEGNE";"60";"159";"None";"AB";"76";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"2420.0";"0.0";"S";"None";"5521";"60159000AB0076";"60159";"000AB";7
"None";"None";"None";"None";"None";"None";"None";"000002";"2015-07-28";"Vente";"1";"None";"None";"None";"B042";"LE HAZOY";"60200";"COMPIEGNE";"60";"159";"None";"AB";"97";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"854";"60159000AB0097";"60159";"000AB";9
