Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-07-28";"Vente";"1";"2";"None";"RUE";"1785";"GUSTAVE EIFFEL";"60200";"COMPIEGNE";"60";"159";"None";"AD";"18";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"4500.0";"0.0";"S";"None";"4500";"60159000AD0018";"60159";"000AD";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-05-02";"Vente";"135000";"1";"None";"RUE";"1961";"JACQUES DE VAUCANSON";"60200";"COMPIEGNE";"60";"159";"None";"AD";"32";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"334.0";"0.0";"S";"None";"357";"60159000AD0032";"60159";"000AD";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-03-10";"Vente";"3000000";"9001";"None";"RUE";"1510";"GASPARD MONGE";"60200";"COMPIEGNE";"60";"159";"None";"AD";"9";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"540.0";"0.0";"S";"None";"9926";"60159000AD0009";"60159";"000AD";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-03-10";"Vente";"3000000";"9001";"None";"RUE";"1510";"GASPARD MONGE";"60200";"COMPIEGNE";"60";"159";"None";"AD";"9";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"247.0";"0.0";"S";"None";"9926";"60159000AD0009";"60159";"000AD";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-03-10";"Vente";"3000000";"9001";"None";"RUE";"1510";"GASPARD MONGE";"60200";"COMPIEGNE";"60";"159";"None";"AD";"9";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"227.0";"0.0";"S";"None";"9926";"60159000AD0009";"60159";"000AD";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-03-10";"Vente";"3000000";"9001";"None";"RUE";"1510";"GASPARD MONGE";"60200";"COMPIEGNE";"60";"159";"None";"AD";"9";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"300.0";"0.0";"S";"None";"9926";"60159000AD0009";"60159";"000AD";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-03-10";"Vente";"3000000";"9001";"None";"RUE";"1510";"GASPARD MONGE";"60200";"COMPIEGNE";"60";"159";"None";"AD";"9";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"376.0";"0.0";"S";"None";"9926";"60159000AD0009";"60159";"000AD";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-03-10";"Vente";"3000000";"9001";"None";"RUE";"1510";"GASPARD MONGE";"60200";"COMPIEGNE";"60";"159";"None";"AD";"9";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"340.0";"0.0";"S";"None";"9926";"60159000AD0009";"60159";"000AD";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-03-10";"Vente";"3000000";"9001";"None";"RUE";"1510";"GASPARD MONGE";"60200";"COMPIEGNE";"60";"159";"None";"AD";"9";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"381.0";"0.0";"S";"None";"9926";"60159000AD0009";"60159";"000AD";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-03-10";"Vente";"3000000";"9001";"None";"RUE";"1510";"GASPARD MONGE";"60200";"COMPIEGNE";"60";"159";"None";"AD";"9";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"642.0";"0.0";"S";"None";"9926";"60159000AD0009";"60159";"000AD";2
