Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-12";"Vente";"233500";"2";"None";"RUE";"2556";"NIEPCE";"60200";"COMPIEGNE";"60";"159";"None";"AE";"27";"None";"64";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"None";"12";"0";"None";"None";"nan";"60159000AE0027";"60159";"000AE";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-12";"Vente";"233500";"2";"None";"RUE";"2556";"NIEPCE";"60200";"COMPIEGNE";"60";"159";"None";"AE";"27";"None";"204";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"None";"12";"0";"None";"None";"nan";"60159000AE0027";"60159";"000AE";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-12";"Vente";"233500";"2";"None";"RUE";"2556";"NIEPCE";"60200";"COMPIEGNE";"60";"159";"None";"AE";"27";"None";"11";"115";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"None";"113";"0";"None";"None";"nan";"60159000AE0027";"60159";"000AE";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-12";"Vente";"233500";"2";"None";"RUE";"2556";"NIEPCE";"60200";"COMPIEGNE";"60";"159";"None";"AE";"27";"None";"65";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"None";"12";"0";"None";"None";"nan";"60159000AE0027";"60159";"000AE";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-12";"Vente";"233500";"2";"None";"RUE";"2556";"NIEPCE";"60200";"COMPIEGNE";"60";"159";"None";"AE";"27";"None";"12";"62";"73";"None";"74";"None";"None";"None";"None";"None";"3";"4";"Local industriel. commercial ou assimilé";"None";"65";"0";"None";"None";"nan";"60159000AE0027";"60159";"000AE";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-12";"Vente";"233500";"2";"None";"RUE";"2556";"NIEPCE";"60200";"COMPIEGNE";"60";"159";"None";"AE";"27";"None";"198";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"None";"4";"0";"None";"None";"nan";"60159000AE0027";"60159";"000AE";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-01-19";"Vente";"470000";"22";"None";"CHE";"2484";"DE MERCIERES";"60200";"COMPIEGNE";"60";"159";"None";"AE";"17";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"None";"200";"0";"S";"None";"4780.0";"60159000AE0017";"60159";"000AE";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-01-19";"Vente";"470000";"22";"None";"CHE";"2484";"DE MERCIERES";"60200";"COMPIEGNE";"60";"159";"None";"AE";"17";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"None";"125";"4";"S";"None";"4780.0";"60159000AE0017";"60159";"000AE";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-01-19";"Vente";"470000";"22";"None";"CHE";"2484";"DE MERCIERES";"60200";"COMPIEGNE";"60";"159";"None";"AE";"17";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"None";"399";"0";"S";"None";"4780.0";"60159000AE0017";"60159";"000AE";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-01-28";"Vente";"1";"2";"B";"CHE";"0214";"D ARMANCOURT";"60200";"COMPIEGNE";"60";"159";"None";"AE";"87";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"None";"1343";"0";"S";"None";"8746.0";"60159000AE0087";"60159";"000AE";9
