Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-04-19";"Vente";"950000";"4";"None";"RUE";"2125";"LAVOISIER";"60200";"COMPIEGNE";"60";"159";"None";"AH";"21";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"nan";"nan";"S";"None";"7000.0";"60159000AH0021";"60159";"000AH";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-04-06";"Vente";"85000";"25";"None";"RUE";"2050";"JULES MELINE";"60200";"COMPIEGNE";"60";"159";"None";"AH";"112";"None";"15";"None";"6";"46";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"46.0";"2.0";"None";"None";"nan";"60159000AH0112";"60159";"000AH";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-20";"Vente";"1";"None";"None";"None";"B020";"LE COQ GALLEUX";"60200";"COMPIEGNE";"60";"159";"None";"AH";"193";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"221.0";"60159000AH0193";"60159";"000AH";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-20";"Vente";"1";"None";"None";"None";"B020";"LE COQ GALLEUX";"60200";"COMPIEGNE";"60";"159";"None";"AH";"191";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"26.0";"60159000AH0191";"60159";"000AH";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-01-16";"Vente";"195000";"25";"B";"RUE";"2050";"JULES MELINE";"60200";"COMPIEGNE";"60";"159";"None";"AH";"113";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"100.0";"4.0";"S";"None";"607.0";"60159000AH0113";"60159";"000AH";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-10-31";"Vente";"200000";"None";"None";"None";"B057";"ROYALLIEU";"60200";"COMPIEGNE";"60";"159";"None";"AH";"121";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"J";"POTAG";"638.0";"60159000AH0121";"60159";"000AH";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-10-31";"Vente";"200000";"6";"None";"RUE";"3720";"DU VIVIER CORAX";"60200";"COMPIEGNE";"60";"159";"None";"AH";"119";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"133.0";"5.0";"S";"None";"251.0";"60159000AH0119";"60159";"000AH";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-23";"Vente";"6000000";"None";"None";"None";"B020";"LE COQ GALLEUX";"60200";"COMPIEGNE";"60";"159";"None";"AH";"195";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"1.0";"60159000AH0195";"60159";"000AH";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-23";"Vente";"6000000";"None";"None";"None";"B020";"LE COQ GALLEUX";"60200";"COMPIEGNE";"60";"159";"None";"AH";"194";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"779.0";"60159000AH0194";"60159";"000AH";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-23";"Vente";"6000000";"14";"None";"RUE";"1365";"DU FOUR ST JACQUES";"60200";"COMPIEGNE";"60";"159";"None";"AH";"187";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"18057.0";"60159000AH0187";"60159";"000AH";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-23";"Vente";"6000000";"None";"None";"None";"B020";"LE COQ GALLEUX";"60200";"COMPIEGNE";"60";"159";"None";"AH";"185";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"74.0";"60159000AH0185";"60159";"000AH";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-23";"Vente";"6000000";"None";"None";"None";"B020";"LE COQ GALLEUX";"60200";"COMPIEGNE";"60";"159";"None";"AH";"184";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"333.0";"60159000AH0184";"60159";"000AH";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-23";"Vente";"6000000";"13";"None";"RUE";"1365";"DU FOUR ST JACQUES";"60200";"COMPIEGNE";"60";"159";"None";"AH";"149";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"4116.0";"60159000AH0149";"60159";"000AH";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-23";"Vente";"6000000";"12";"None";"RUE";"1365";"DU FOUR ST JACQUES";"60200";"COMPIEGNE";"60";"159";"None";"AH";"147";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"5003.0";"60159000AH0147";"60159";"000AH";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-23";"Vente";"6000000";"12";"None";"RUE";"1365";"DU FOUR ST JACQUES";"60200";"COMPIEGNE";"60";"159";"None";"AH";"146";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"nan";"nan";"S";"None";"8795.0";"60159000AH0146";"60159";"000AH";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-23";"Vente";"6000000";"None";"None";"None";"B020";"LE COQ GALLEUX";"60200";"COMPIEGNE";"60";"159";"None";"AH";"144";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"422.0";"60159000AH0144";"60159";"000AH";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-23";"Vente";"6000000";"None";"None";"RUE";"1365";"DU FOUR ST JACQUES";"60200";"COMPIEGNE";"60";"159";"None";"AH";"10";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"4535.0";"60159000AH0010";"60159";"000AH";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-10-03";"Vente";"215000";"17";"None";"RUE";"1365";"DU FOUR ST JACQUES";"60200";"COMPIEGNE";"60";"159";"None";"AH";"211";"None";"1";"458";"11";"None";"5";"None";"6";"None";"None";"None";"4";"4.0";"Local industriel. commercial ou assimilé";"None";"540.0";"0.0";"None";"None";"nan";"60159000AH0211";"60159";"000AH";17
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-09-22";"Vente";"140000";"38";"None";"RUE";"3460";"DE SENLIS";"60200";"COMPIEGNE";"60";"159";"None";"AH";"124";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"66.0";"3.0";"S";"None";"370.0";"60159000AH0124";"60159";"000AH";18
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-08-03";"Vente";"950000";"None";"None";"None";"B020";"LE COQ GALLEUX";"60200";"COMPIEGNE";"60";"159";"None";"AH";"192";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"62.0";"60159000AH0192";"60159";"000AH";19
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-08-03";"Vente";"950000";"None";"None";"None";"B020";"LE COQ GALLEUX";"60200";"COMPIEGNE";"60";"159";"None";"AH";"190";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"101.0";"60159000AH0190";"60159";"000AH";19
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-08-03";"Vente";"950000";"None";"None";"None";"B020";"LE COQ GALLEUX";"60200";"COMPIEGNE";"60";"159";"None";"AH";"189";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"831.0";"60159000AH0189";"60159";"000AH";19
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-08-03";"Vente";"950000";"19";"None";"RUE";"1365";"DU FOUR ST JACQUES";"60200";"COMPIEGNE";"60";"159";"None";"AH";"188";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"6097.0";"60159000AH0188";"60159";"000AH";19
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-07-26";"Vente";"220000";"29";"None";"RUE";"2050";"JULES MELINE";"60200";"COMPIEGNE";"60";"159";"None";"AH";"116";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"90.0";"4.0";"S";"None";"600.0";"60159000AH0116";"60159";"000AH";23
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-06-30";"Vente";"129000";"25";"None";"RUE";"2050";"JULES MELINE";"60200";"COMPIEGNE";"60";"159";"None";"AH";"112";"None";"19";"None";"9";"69";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"71.0";"4.0";"None";"None";"nan";"60159000AH0112";"60159";"000AH";24
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-05-31";"Vente";"195000";"None";"None";"None";"B057";"ROYALLIEU";"60200";"COMPIEGNE";"60";"159";"None";"AH";"201";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AB";"None";"33.0";"60159000AH0201";"60159";"000AH";25
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-05-31";"Vente";"195000";"None";"None";"None";"B057";"ROYALLIEU";"60200";"COMPIEGNE";"60";"159";"None";"AH";"199";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AB";"None";"161.0";"60159000AH0199";"60159";"000AH";25
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-05-31";"Vente";"195000";"None";"None";"RUE";"3720";"DU VIVIER CORAX";"60200";"COMPIEGNE";"60";"159";"None";"AH";"198";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AB";"None";"93.0";"60159000AH0198";"60159";"000AH";25
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-05-31";"Vente";"195000";"None";"None";"None";"B057";"ROYALLIEU";"60200";"COMPIEGNE";"60";"159";"None";"AH";"197";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"J";"POTAG";"205.0";"60159000AH0197";"60159";"000AH";25
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-05-31";"Vente";"195000";"None";"None";"RUE";"3720";"DU VIVIER CORAX";"60200";"COMPIEGNE";"60";"159";"None";"AH";"153";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AB";"None";"226.0";"60159000AH0153";"60159";"000AH";25
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-04-29";"Vente";"222000";"None";"None";"None";"B057";"ROYALLIEU";"60200";"COMPIEGNE";"60";"159";"None";"AH";"177";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"J";"POTAG";"261.0";"60159000AH0177";"60159";"000AH";30
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-04-29";"Vente";"222000";"58";"None";"RUE";"2050";"JULES MELINE";"60200";"COMPIEGNE";"60";"159";"None";"AH";"63";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"81.0";"4.0";"S";"None";"196.0";"60159000AH0063";"60159";"000AH";30
"None";"None";"None";"None";"None";"None";"None";"000002";"2016-08-25";"Vente";"45000";"53";"None";"RUE";"3530";"DE STALINGRAD";"60200";"COMPIEGNE";"60";"159";"None";"AH";"204";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"54.0";"4.0";"S";"None";"466.0";"60159000AH0204";"60159";"000AH";32
"None";"None";"None";"None";"None";"None";"None";"000002";"2016-08-25";"Vente";"45000";"None";"None";"None";"B057";"ROYALLIEU";"60200";"COMPIEGNE";"60";"159";"None";"AH";"202";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"J";"POTAG";"144.0";"60159000AH0202";"60159";"000AH";32
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-08-17";"Vente";"106000";"25";"None";"RUE";"2050";"JULES MELINE";"60200";"COMPIEGNE";"60";"159";"None";"AH";"112";"None";"10";"54";"16";"None";"18";"None";"None";"None";"None";"None";"3";"2.0";"Appartement";"None";"54.0";"3.0";"None";"None";"nan";"60159000AH0112";"60159";"000AH";34
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-07-13";"Vente";"460000";"3";"None";"RUE";"1365";"DU FOUR ST JACQUES";"60200";"COMPIEGNE";"60";"159";"None";"AH";"31";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"25.0";"0.0";"S";"None";"5099.0";"60159000AH0031";"60159";"000AH";35
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-07-13";"Vente";"460000";"3";"None";"RUE";"1365";"DU FOUR ST JACQUES";"60200";"COMPIEGNE";"60";"159";"None";"AH";"31";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"300.0";"0.0";"S";"None";"5099.0";"60159000AH0031";"60159";"000AH";35
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-07-13";"Vente";"460000";"3";"None";"RUE";"1365";"DU FOUR ST JACQUES";"60200";"COMPIEGNE";"60";"159";"None";"AH";"31";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"372.0";"0.0";"S";"None";"5099.0";"60159000AH0031";"60159";"000AH";35
