Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-06-29";"Vente";"105000";"6";"None";"RUE";"1027";"DU DOCTEUR ROUX";"60200";"COMPIEGNE";"60";"159";"None";"AI";"22";"None";"27";"79";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"None";"78";"4";"None";"None";"None";"60159000AI0022";"60159";"000AI";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-06-29";"Vente";"105000";"9005";"None";"RUE";"1027";"DU DOCTEUR ROUX";"60200";"COMPIEGNE";"60";"159";"None";"AI";"21";"None";"27";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"None";"0";"0";"None";"None";"None";"60159000AI0021";"60159";"000AI";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-06-22";"Vente";"140000";"2";"None";"RUE";"1085";"EDOUARD BRANLY";"60200";"COMPIEGNE";"60";"159";"None";"AI";"27";"None";"13";"99";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"None";"95";"5";"None";"None";"None";"60159000AI0027";"60159";"000AI";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-06-19";"Vente";"62000";"11";"None";"RUE";"1085";"EDOUARD BRANLY";"60200";"COMPIEGNE";"60";"159";"None";"AI";"23";"None";"140";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"None";"0";"0";"None";"None";"None";"60159000AI0023";"60159";"000AI";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-06-19";"Vente";"62000";"9";"None";"RUE";"1085";"EDOUARD BRANLY";"60200";"COMPIEGNE";"60";"159";"None";"AI";"23";"None";"51";"49";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"None";"46";"2";"None";"None";"None";"60159000AI0023";"60159";"000AI";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-05-15";"Vente";"115000";"7";"None";"RUE";"1085";"EDOUARD BRANLY";"60200";"COMPIEGNE";"60";"159";"None";"AI";"23";"None";"35";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"None";"78";"4";"None";"None";"None";"60159000AI0023";"60159";"000AI";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-05-15";"Vente";"115000";"11";"None";"RUE";"1085";"EDOUARD BRANLY";"60200";"COMPIEGNE";"60";"159";"None";"AI";"23";"None";"127";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"None";"0";"0";"None";"None";"None";"60159000AI0023";"60159";"000AI";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-04-26";"Vente";"5000";"9002";"None";"RUE";"1027";"DU DOCTEUR ROUX";"60200";"COMPIEGNE";"60";"159";"None";"AI";"33";"None";"26";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"None";"0";"0";"None";"None";"None";"60159000AI0033";"60159";"000AI";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-04-04";"Vente";"84000";"1";"None";"RUE";"1085";"EDOUARD BRANLY";"60200";"COMPIEGNE";"60";"159";"None";"AI";"22";"None";"8";"79";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"None";"76";"4";"None";"None";"None";"60159000AI0022";"60159";"000AI";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-04-04";"Vente";"84000";"9005";"None";"RUE";"1027";"DU DOCTEUR ROUX";"60200";"COMPIEGNE";"60";"159";"None";"AI";"21";"None";"8";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"None";"0";"0";"None";"None";"None";"60159000AI0021";"60159";"000AI";8
