Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-06-01";"Vente";"136000";"9002";"None";"RUE";"1005";"DU DOCTEUR CALMETTE";"60200";"COMPIEGNE";"60";"159";"None";"AK";"2";"None";"1106";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"None";"0";"0";"None";"None";"None";"60159000AK0002";"60159";"000AK";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-06-01";"Vente";"136000";"1";"None";"RUE";"2765";"PHILIBERT DELORME";"60200";"COMPIEGNE";"60";"159";"None";"AK";"2";"None";"706";"83";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"None";"80";"4";"None";"None";"None";"60159000AK0002";"60159";"000AK";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-05-22";"Vente";"80000";"1";"None";"RUE";"2765";"PHILIBERT DELORME";"60200";"COMPIEGNE";"60";"159";"None";"AK";"2";"None";"708";"28";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"None";"36";"2";"None";"None";"None";"60159000AK0002";"60159";"000AK";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-05-22";"Vente";"80000";"9002";"None";"RUE";"1005";"DU DOCTEUR CALMETTE";"60200";"COMPIEGNE";"60";"159";"None";"AK";"2";"None";"1028";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"None";"0";"0";"None";"None";"None";"60159000AK0002";"60159";"000AK";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-03-30";"Vente";"125000";"9002";"None";"RUE";"1005";"DU DOCTEUR CALMETTE";"60200";"COMPIEGNE";"60";"159";"None";"AK";"2";"None";"1112";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"None";"0";"0";"None";"None";"None";"60159000AK0002";"60159";"000AK";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-03-30";"Vente";"125000";"2";"None";"RUE";"2765";"PHILIBERT DELORME";"60200";"COMPIEGNE";"60";"159";"None";"AK";"2";"None";"801";"73";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"None";"76";"3";"None";"None";"None";"60159000AK0002";"60159";"000AK";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-20";"Vente";"84000";"2";"None";"RUE";"2765";"PHILIBERT DELORME";"60200";"COMPIEGNE";"60";"159";"None";"AK";"2";"None";"807";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"None";"69";"3";"None";"None";"None";"60159000AK0002";"60159";"000AK";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-20";"Vente";"84000";"9002";"None";"RUE";"1005";"DU DOCTEUR CALMETTE";"60200";"COMPIEGNE";"60";"159";"None";"AK";"2";"None";"1117";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"None";"0";"0";"None";"None";"None";"60159000AK0002";"60159";"000AK";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-02";"Vente";"138500";"1";"None";"RUE";"2045";"JULES HARDOIN MANSARD";"60200";"COMPIEGNE";"60";"159";"None";"AK";"2";"None";"402";"99";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"None";"96";"5";"None";"None";"None";"60159000AK0002";"60159";"000AK";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-02";"Vente";"138500";"9002";"None";"RUE";"1005";"DU DOCTEUR CALMETTE";"60200";"COMPIEGNE";"60";"159";"None";"AK";"2";"None";"1065";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"None";"0";"0";"None";"None";"None";"60159000AK0002";"60159";"000AK";8
