Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-06-12";"Vente";"154000";"3";"None";"RUE";"3100";"ROBERT DESNOS";"60200";"COMPIEGNE";"60";"159";"None";"AL";"218";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"74.0";"4.0";"S";"None";"245";"60159000AL0218";"60159";"000AL";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-05-12";"Vente";"220000";"6";"None";"SQ";"1120";"EMILE ZOLA";"60200";"COMPIEGNE";"60";"159";"None";"AL";"98";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"159.0";"7.0";"S";"None";"450";"60159000AL0098";"60159";"000AL";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-06";"Vente";"180000";"7";"None";"RUE";"2270";"MARCEL PROUST";"60200";"COMPIEGNE";"60";"159";"None";"AL";"112";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"86.0";"4.0";"S";"None";"500";"60159000AL0112";"60159";"000AL";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-09-06";"Vente";"132000";"4";"None";"SQ";"2710";"PAUL CLAUDEL";"60200";"COMPIEGNE";"60";"159";"None";"AL";"197";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"74.0";"4.0";"S";"None";"356";"60159000AL0197";"60159";"000AL";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-09-01";"Vente";"205000";"26";"None";"RUE";"1212";"EUGENIE LOUIS (1895-1967)";"60200";"COMPIEGNE";"60";"159";"None";"AL";"118";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"120.0";"7.0";"S";"None";"504";"60159000AL0118";"60159";"000AL";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-09-08";"Vente";"220000";"37";"None";"AV";"2112";"DE LANDSHUT";"60200";"COMPIEGNE";"60";"159";"None";"AL";"10";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"81.0";"3.0";"S";"None";"589";"60159000AL0010";"60159";"000AL";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-07-07";"Vente";"215000";"3";"None";"SQ";"1120";"EMILE ZOLA";"60200";"COMPIEGNE";"60";"159";"None";"AL";"92";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"105.0";"5.0";"S";"None";"450";"60159000AL0092";"60159";"000AL";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-06-24";"Vente";"250000";"8";"None";"AV";"2112";"DE LANDSHUT";"60200";"COMPIEGNE";"60";"159";"None";"AL";"61";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"104.0";"5.0";"S";"None";"430";"60159000AL0061";"60159";"000AL";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-03-10";"Vente";"195000";"1";"None";"SQ";"2710";"PAUL CLAUDEL";"60200";"COMPIEGNE";"60";"159";"None";"AL";"194";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"83.0";"5.0";"S";"None";"420";"60159000AL0194";"60159";"000AL";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-12-23";"Vente";"230000";"26";"None";"SQ";"1890";"HONORE DE BALZAC";"60200";"COMPIEGNE";"60";"159";"None";"AL";"232";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"121";"60159000AL0232";"60159";"000AL";9
