Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-06-08";"Vente";"9600";"9018";"None";"RUE";"1290";"FLEURIE";"60200";"COMPIEGNE";"60";"159";"None";"AN";"236";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"26.0";"60159000AN0236";"60159";"000AN";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-05-11";"Vente";"115000";"114";"None";"AV";"1950";"DE HUY";"60200";"COMPIEGNE";"60";"159";"None";"AN";"339";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"52.0";"1.0";"S";"None";"84.0";"60159000AN0339";"60159";"000AN";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-04-13";"Vente";"90000";"3";"None";"RUE";"1290";"FLEURIE";"60200";"COMPIEGNE";"60";"159";"None";"AN";"263";"None";"26";"55";"35";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"55.0";"3.0";"None";"None";"nan";"60159000AN0263";"60159";"000AN";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-03-30";"Vente";"440000";"12";"B";"RUE";"3400";"SAINTE EUPHROSINE";"60200";"COMPIEGNE";"60";"159";"None";"AN";"314";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"462.0";"60159000AN0314";"60159";"000AN";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-03-30";"Vente";"440000";"12";"B";"RUE";"3400";"SAINTE EUPHROSINE";"60200";"COMPIEGNE";"60";"159";"None";"AN";"55";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"240.0";"9.0";"S";"None";"668.0";"60159000AN0055";"60159";"000AN";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-22";"Vente";"150000";"16";"None";"RUE";"2770";"DE PICARDIE";"60200";"COMPIEGNE";"60";"159";"None";"AN";"311";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"67.0";"4.0";"S";"None";"513.0";"60159000AN0311";"60159";"000AN";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-02-20";"Vente";"113500";"32";"None";"RUE";"2900";"PDT EDOUARD HERRIOT";"60200";"COMPIEGNE";"60";"159";"None";"AN";"163";"None";"13";"None";"4";"63";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"64.0";"4.0";"None";"None";"nan";"60159000AN0163";"60159";"000AN";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-18";"Vente";"9500";"9042";"None";"AV";"2750";"DES PEUPLIERS";"60200";"COMPIEGNE";"60";"159";"None";"AN";"255";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"43.0";"60159000AN0255";"60159";"000AN";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-21";"Vente";"138000";"64";"None";"AV";"1950";"DE HUY";"60200";"COMPIEGNE";"60";"159";"None";"AN";"160";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"65.0";"4.0";"S";"None";"405.0";"60159000AN0160";"60159";"000AN";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-08";"Vente";"86000";"6";"None";"AV";"2750";"DES PEUPLIERS";"60200";"COMPIEGNE";"60";"159";"None";"AN";"247";"None";"1";"54";"11";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"55.0";"3.0";"None";"None";"nan";"60159000AN0247";"60159";"000AN";9
