Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-05-05";"Vente";"190000";"None";"None";"AV";"0980";"DE LATTRE DE TASSIGNY";"60200";"COMPIEGNE";"60";"159";"None";"AO";"259";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"None";"None";"nan";"60159000AO0259";"60159";"000AO";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-05-28";"Vente";"87000";"3";"None";"RUE";"1140";"DE L EPARGNE";"60200";"COMPIEGNE";"60";"159";"None";"AO";"174";"None";"87";"75";"88";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"77.0";"4.0";"None";"None";"nan";"60159000AO0174";"60159";"000AO";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-04-28";"Vente";"179170";"12";"None";"RUE";"1140";"DE L EPARGNE";"60200";"COMPIEGNE";"60";"159";"None";"AO";"29";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"78.0";"4.0";"S";"None";"666.0";"60159000AO0029";"60159";"000AO";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-05";"Vente";"146000";"13";"None";"RUE";"1140";"DE L EPARGNE";"60200";"COMPIEGNE";"60";"159";"None";"AO";"174";"None";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"61.0";"3.0";"None";"None";"nan";"60159000AO0174";"60159";"000AO";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-05";"Vente";"146000";"9001";"None";"RUE";"1140";"DE L EPARGNE";"60200";"COMPIEGNE";"60";"159";"None";"AO";"174";"None";"137";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AO0174";"60159";"000AO";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-05";"Vente";"146000";"13";"None";"RUE";"1140";"DE L EPARGNE";"60200";"COMPIEGNE";"60";"159";"None";"AO";"174";"None";"5";"95";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"92.0";"4.0";"None";"None";"nan";"60159000AO0174";"60159";"000AO";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-05";"Vente";"180000";"21";"None";"RUE";"1140";"DE L EPARGNE";"60200";"COMPIEGNE";"60";"159";"None";"AO";"40";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"73.0";"4.0";"S";"None";"551.0";"60159000AO0040";"60159";"000AO";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-28";"Vente";"190000";"5";"None";"RUE";"1980";"JEAN LHUILLIER";"60200";"COMPIEGNE";"60";"159";"None";"AO";"124";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"110.0";"6.0";"S";"None";"621.0";"60159000AO0124";"60159";"000AO";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-10-26";"Vente";"105000";"9003";"None";"RUE";"1140";"DE L EPARGNE";"60200";"COMPIEGNE";"60";"159";"None";"AO";"174";"None";"162";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AO0174";"60159";"000AO";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-10-26";"Vente";"105000";"1";"B";"RUE";"1140";"DE L EPARGNE";"60200";"COMPIEGNE";"60";"159";"None";"AO";"174";"None";"113";"71";"114";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"72.0";"4.0";"None";"None";"nan";"60159000AO0174";"60159";"000AO";8
