Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-12-21";"Vente";"74500";"None";"None";"RUE";"3103";"ROBERT TOUSTOU";"60200";"COMPIEGNE";"60";"159";"None";"AP";"354";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AB";"None";"229.0";"60159000AP0354";"60159";"000AP";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-11";"Vente";"127000";"8";"None";"AV";"1215";"DE L EUROPE";"60200";"COMPIEGNE";"60";"159";"None";"AP";"35";"None";"139";"None";"161";"None";"46";"50";"None";"None";"None";"None";"3";"2.0";"Appartement";"None";"50.0";"2.0";"None";"None";"nan";"60159000AP0035";"60159";"000AP";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-01";"Vente";"179598";"1";"None";"RUE";"0584";"CHARLES GAND";"60200";"COMPIEGNE";"60";"159";"None";"AP";"131";"None";"79";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AP0131";"60159";"000AP";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-01";"Vente";"179598";"1";"None";"RUE";"0584";"CHARLES GAND";"60200";"COMPIEGNE";"60";"159";"None";"AP";"131";"None";"4";"65";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"67.0";"3.0";"None";"None";"nan";"60159000AP0131";"60159";"000AP";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-31";"Vente";"216094";"2";"None";"AV";"1215";"DE L EUROPE";"60200";"COMPIEGNE";"60";"159";"None";"AP";"34";"None";"111";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"68.0";"3.0";"None";"None";"nan";"60159000AP0034";"60159";"000AP";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-31";"Vente";"216094";"2";"None";"AV";"1215";"DE L EUROPE";"60200";"COMPIEGNE";"60";"159";"None";"AP";"34";"None";"18";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"64.0";"3.0";"None";"None";"nan";"60159000AP0034";"60159";"000AP";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-31";"Vente";"216094";"2";"None";"AV";"1215";"DE L EUROPE";"60200";"COMPIEGNE";"60";"159";"None";"AP";"34";"None";"122";"None";"75";"75";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"72.0";"3.0";"None";"None";"nan";"60159000AP0034";"60159";"000AP";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-29";"Vente";"186120";"1";"None";"RUE";"0584";"CHARLES GAND";"60200";"COMPIEGNE";"60";"159";"None";"AP";"131";"None";"93";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AP0131";"60159";"000AP";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-29";"Vente";"186120";"5";"None";"AV";"0532";"DU CAMP DE ROYALLIEU";"60200";"COMPIEGNE";"60";"159";"None";"AP";"131";"None";"25";"67";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"67.0";"3.0";"None";"None";"nan";"60159000AP0131";"60159";"000AP";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-29";"Vente";"186120";"1";"None";"RUE";"0584";"CHARLES GAND";"60200";"COMPIEGNE";"60";"159";"None";"AP";"131";"None";"92";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AP0131";"60159";"000AP";7
