Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-03-17";"Vente";"155000";"19";"None";"SQ";"2100";"LAMARTINE";"60200";"COMPIEGNE";"60";"159";"None";"AR";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"107.0";"6.0";"S";"None";"372.0";"60159000AR0001";"60159";"000AR";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-12";"Vente";"1";"2";"None";"PAS";"0090";"ALBERT CAMUS";"60200";"COMPIEGNE";"60";"159";"None";"AR";"255";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"791.0";"60159000AR0255";"60159";"000AR";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-12";"Vente";"1";"2";"None";"PAS";"0090";"ALBERT CAMUS";"60200";"COMPIEGNE";"60";"159";"None";"AR";"256";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"176.0";"60159000AR0256";"60159";"000AR";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-22";"Vente terrain à bâtir";"131547";"None";"None";"RUE";"2760";"PHILEAS LEBESGUE";"60200";"COMPIEGNE";"60";"159";"None";"AR";"211";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AB";"None";"1221.0";"60159000AR0211";"60159";"000AR";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-22";"Vente terrain à bâtir";"131547";"2";"None";"PAS";"0090";"ALBERT CAMUS";"60200";"COMPIEGNE";"60";"159";"None";"AR";"255";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"791.0";"60159000AR0255";"60159";"000AR";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-22";"Vente terrain à bâtir";"131547";"None";"None";"None";"B014";"LE CHEMIN DU MOULIN DE VEN";"60200";"COMPIEGNE";"60";"159";"None";"AR";"264";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AG";"IMM";"207.0";"60159000AR0264";"60159";"000AR";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-24";"Vente";"60200";"1";"None";"SQ";"0600";"CHARLES GOUNOD";"60200";"COMPIEGNE";"60";"159";"None";"AR";"133";"None";"27";"0";"78";"78";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"77.0";"4.0";"None";"None";"nan";"60159000AR0133";"60159";"000AR";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-05";"Vente";"85000";"5";"None";"SQ";"0600";"CHARLES GOUNOD";"60200";"COMPIEGNE";"60";"159";"None";"AR";"134";"None";"38";"0";"90";"66";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"65.0";"3.0";"None";"None";"nan";"60159000AR0134";"60159";"000AR";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-16";"Vente terrain à bâtir";"259023";"None";"None";"RUE";"2760";"PHILEAS LEBESGUE";"60200";"COMPIEGNE";"60";"159";"None";"AR";"210";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AB";"None";"153.0";"60159000AR0210";"60159";"000AR";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-16";"Vente terrain à bâtir";"259023";"None";"None";"None";"B014";"LE CHEMIN DU MOULIN DE VEN";"60200";"COMPIEGNE";"60";"159";"None";"AR";"223";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AG";"IMM";"569.0";"60159000AR0223";"60159";"000AR";8
