Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-27";"Vente";"105000";"11";"None";"SQ";"0855";"DU CDT GABRIEL FOURNAISE";"60200";"COMPIEGNE";"60";"159";"None";"AT";"65";"None";"97";"50";"98";"0";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"50.0";"2.0";"None";"None";"nan";"60159000AT0065";"60159";"000AT";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-18";"Vente";"105000";"1";"B";"SQ";"2390";"MARIE LOUISE DELAIDDE";"60200";"COMPIEGNE";"60";"159";"None";"AT";"81";"None";"30";"0";"43";"63";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"67.0";"3.0";"None";"None";"nan";"60159000AT0081";"60159";"000AT";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-15";"Vente";"100000";"11";"None";"SQ";"0855";"DU CDT GABRIEL FOURNAISE";"60200";"COMPIEGNE";"60";"159";"None";"AT";"65";"None";"103";"49";"104";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"50.0";"2.0";"None";"None";"nan";"60159000AT0065";"60159";"000AT";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-24";"Vente";"175000";"34";"None";"BD";"1480";"GAMBETTA";"60200";"COMPIEGNE";"60";"159";"None";"AT";"129";"None";"59";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AT0129";"60159";"000AT";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-24";"Vente";"175000";"34";"None";"BD";"1480";"GAMBETTA";"60200";"COMPIEGNE";"60";"159";"None";"AT";"129";"None";"10";"78";"41";"0";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"81.0";"5.0";"None";"None";"nan";"60159000AT0129";"60159";"000AT";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-26";"Vente";"71000";"1";"None";"SQ";"2390";"MARIE LOUISE DELAIDDE";"60200";"COMPIEGNE";"60";"159";"None";"AT";"81";"None";"17";"47";"4";"0";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"46.0";"2.0";"None";"None";"nan";"60159000AT0081";"60159";"000AT";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"103000";"16";"None";"RUE";"3730";"WINSTON CHURCHILL";"60200";"COMPIEGNE";"60";"159";"None";"AT";"67";"None";"109";"63";"87";"0";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"63.0";"3.0";"None";"None";"nan";"60159000AT0067";"60159";"000AT";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-12";"Vente";"103000";"16";"None";"RUE";"3730";"WINSTON CHURCHILL";"60200";"COMPIEGNE";"60";"159";"None";"AT";"67";"None";"112";"63";"81";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"63.0";"3.0";"None";"None";"nan";"60159000AT0067";"60159";"000AT";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-08";"Vente";"141100";"9";"None";"SQ";"0855";"DU CDT GABRIEL FOURNAISE";"60200";"COMPIEGNE";"60";"159";"None";"AT";"55";"None";"21";"73";"22";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"73.0";"4.0";"None";"None";"nan";"60159000AT0055";"60159";"000AT";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-13";"Vente";"119000";"15";"None";"SQ";"0855";"DU CDT GABRIEL FOURNAISE";"60200";"COMPIEGNE";"60";"159";"None";"AT";"57";"None";"87";"73";"95";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"73.0";"4.0";"None";"None";"nan";"60159000AT0057";"60159";"000AT";9
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-27";"Vente";"60000";"2";"None";"SQ";"0853";"DU COLONEL SUTTERLIN";"60200";"COMPIEGNE";"60";"159";"None";"AT";"75";"None";"36";"None";"92";"30";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"30.0";"1.0";"None";"None";"nan";"60159000AT0075";"60159";"000AT";10
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-28";"Vente";"350000";"6";"None";"RUE";"0780";"CLEMENT BAYARD";"60200";"COMPIEGNE";"60";"159";"None";"AT";"7";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"2041.0";"0.0";"S";"None";"4655.0";"60159000AT0007";"60159";"000AT";11
