Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-10";"Vente";"680000";"1";"None";"RUE";"3250";"SAINT FIACRE";"60200";"COMPIEGNE";"60";"159";"None";"AV";"153";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"535.0";"0.0";"S";"None";"510.0";"60159000AV0153";"60159";"000AV";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-25";"Vente";"5000";"9001";"None";"RUE";"1585";"DU MARECHAL KOENIG";"60200";"COMPIEGNE";"60";"159";"None";"AV";"26";"None";"374";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AV0026";"60159";"000AV";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-07";"Vente";"7500";"9001";"None";"RUE";"1585";"DU MARECHAL KOENIG";"60200";"COMPIEGNE";"60";"159";"None";"AV";"26";"None";"312";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AV0026";"60159";"000AV";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-18";"Vente";"127000";"5";"None";"RUE";"1585";"DU MARECHAL KOENIG";"60200";"COMPIEGNE";"60";"159";"None";"AV";"85";"None";"174";"66";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"65.0";"3.0";"None";"None";"nan";"60159000AV0085";"60159";"000AV";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-03";"Vente";"133400";"15";"None";"RUE";"3730";"WINSTON CHURCHILL";"60200";"COMPIEGNE";"60";"159";"None";"AV";"123";"None";"27";"84";"67";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"62.0";"3.0";"None";"None";"nan";"60159000AV0123";"60159";"000AV";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-29";"Vente";"106000";"9001";"None";"RUE";"1585";"DU MARECHAL KOENIG";"60200";"COMPIEGNE";"60";"159";"None";"AV";"26";"None";"12";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AV0026";"60159";"000AV";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-29";"Vente";"106000";"5";"None";"RUE";"0595";"CHARLES FAROUX";"60200";"COMPIEGNE";"60";"159";"None";"AV";"30";"None";"102";"None";"33";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"63.0";"3.0";"None";"None";"nan";"60159000AV0030";"60159";"000AV";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"110000";"33";"None";"AV";"1630";"DU GEN WEYGAND";"60200";"COMPIEGNE";"60";"159";"None";"AV";"41";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"52.0";"3.0";"S";"None";"182.0";"60159000AV0041";"60159";"000AV";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-15";"Vente";"70000";"25";"None";"RUE";"3250";"SAINT FIACRE";"60200";"COMPIEGNE";"60";"159";"None";"AV";"176";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"40.0";"2.0";"S";"None";"102.0";"60159000AV0176";"60159";"000AV";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-27";"Vente";"5000";"9001";"None";"RUE";"1585";"DU MARECHAL KOENIG";"60200";"COMPIEGNE";"60";"159";"None";"AV";"26";"None";"298";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AV0026";"60159";"000AV";9
