Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-09";"Vente";"122112";"2";"None";"SQ";"1920";"DU 8 MAI";"60200";"COMPIEGNE";"60";"159";"None";"AW";"203";"None";"27";"0";"57";"56";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"58.0";"1.0";"None";"None";"nan";"60159000AW0203";"60159";"000AW";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-24";"Vente";"147500";"2";"None";"RUE";"2380";"DU MARECHAL MAUNOURY";"60200";"COMPIEGNE";"60";"159";"None";"AW";"250";"None";"38";"None";"77";"70";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"71.0";"4.0";"None";"None";"nan";"60159000AW0250";"60159";"000AW";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-21";"Vente";"108000";"11";"None";"SQ";"1920";"DU 8 MAI";"60200";"COMPIEGNE";"60";"159";"None";"AW";"202";"None";"23";"82";"64";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"85.0";"5.0";"None";"None";"nan";"60159000AW0202";"60159";"000AW";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"120000";"16";"None";"SQ";"0060";"DE L AEROSTATION";"60200";"COMPIEGNE";"60";"159";"None";"AW";"146";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"70.0";"4.0";"S";"None";"170.0";"60159000AW0146";"60159";"000AW";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"104000";"9";"None";"RUE";"2300";"DU MARECHAL FAYOLLE";"60200";"COMPIEGNE";"60";"159";"None";"AW";"252";"None";"11";"None";"40";"84";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"85.0";"5.0";"None";"None";"nan";"60159000AW0252";"60159";"000AW";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-06";"Vente";"165000";"47";"None";"RUE";"1700";"DE LA GLACIERE";"60200";"COMPIEGNE";"60";"159";"None";"AW";"268";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"51.0";"3.0";"S";"None";"208.0";"60159000AW0268";"60159";"000AW";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-06";"Vente";"90000";"6";"None";"RUE";"2380";"DU MARECHAL MAUNOURY";"60200";"COMPIEGNE";"60";"159";"None";"AW";"250";"None";"23";"None";"61";"58";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"58.0";"3.0";"None";"None";"nan";"60159000AW0250";"60159";"000AW";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-24";"Vente";"88000";"1";"None";"RUE";"1520";"DU GENERAL DEBENEY";"60200";"COMPIEGNE";"60";"159";"None";"AW";"8";"None";"71";"None";"9";"66";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"67.0";"3.0";"None";"None";"nan";"60159000AW0008";"60159";"000AW";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-15";"Vente";"179000";"147";"None";"RUE";"2660";"DE PARIS";"60200";"COMPIEGNE";"60";"159";"None";"AW";"32";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"100.0";"4.0";"S";"None";"610.0";"60159000AW0032";"60159";"000AW";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-08";"Vente";"90000";"3";"None";"RUE";"2300";"DU MARECHAL FAYOLLE";"60200";"COMPIEGNE";"60";"159";"None";"AW";"251";"None";"13";"None";"43";"58";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"58.0";"3.0";"None";"None";"nan";"60159000AW0251";"60159";"000AW";9
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-25";"Vente";"515000";"72";"None";"RUE";"3290";"SAINT JOSEPH";"60200";"COMPIEGNE";"60";"159";"None";"AW";"243";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"149.0";"6.0";"S";"None";"794.0";"60159000AW0243";"60159";"000AW";10
