Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-22";"Vente";"110000";"12";"B";"RUE";"1230";"EVETTE";"60200";"COMPIEGNE";"60";"159";"None";"AX";"362";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"104.0";"6.0";"S";"None";"494.0";"60159000AX0362";"60159";"000AX";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-23";"Vente";"410000";"1";"None";"SQ";"3295";"SAINT JOSEPH";"60200";"COMPIEGNE";"60";"159";"None";"AX";"359";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"206.0";"6.0";"S";"None";"531.0";"60159000AX0359";"60159";"000AX";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-17";"Vente";"155000";"33";"None";"RUE";"1230";"EVETTE";"60200";"COMPIEGNE";"60";"159";"None";"AX";"131";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"55.0";"3.0";"S";"None";"184.0";"60159000AX0131";"60159";"000AX";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-11-22";"Vente";"90000";"9001";"None";"SQ";"2915";"DU PRESIDENT KENNEDY";"60200";"COMPIEGNE";"60";"159";"None";"AX";"66";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"17.0";"60159000AX0066";"60159";"000AX";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-01-14";"Vente";"134000";"101";"None";"RUE";"3290";"SAINT JOSEPH";"60200";"COMPIEGNE";"60";"159";"None";"AX";"86";"None";"14";"66";"28";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"65.0";"3.0";"None";"None";"nan";"60159000AX0086";"60159";"000AX";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-01-15";"Vente";"152000";"61";"T";"RUE";"3290";"SAINT JOSEPH";"60200";"COMPIEGNE";"60";"159";"None";"AX";"304";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"15.0";"60159000AX0304";"60159";"000AX";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-01-15";"Vente";"152000";"61";"T";"RUE";"3290";"SAINT JOSEPH";"60200";"COMPIEGNE";"60";"159";"None";"AX";"310";"None";"3";"76";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"75.0";"4.0";"None";"None";"nan";"60159000AX0310";"60159";"000AX";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-02-18";"Vente";"308000";"59";"None";"RUE";"3290";"SAINT JOSEPH";"60200";"COMPIEGNE";"60";"159";"None";"AX";"224";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"110.0";"5.0";"S";"None";"302.0";"60159000AX0224";"60159";"000AX";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-02-18";"Vente";"308000";"None";"None";"VC";"1690";"LA GLACIERE";"60200";"COMPIEGNE";"60";"159";"None";"AX";"225";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"35.0";"60159000AX0225";"60159";"000AX";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-02-18";"Vente";"308000";"None";"None";"VC";"1690";"LA GLACIERE";"60200";"COMPIEGNE";"60";"159";"None";"AX";"225";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"J";"POTAG";"468.0";"60159000AX0225";"60159";"000AX";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-03-06";"Vente";"171500";"23";"None";"RUE";"1230";"EVETTE";"60200";"COMPIEGNE";"60";"159";"None";"AX";"146";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"70.0";"4.0";"S";"None";"181.0";"60159000AX0146";"60159";"000AX";10
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-04-15";"Vente";"170000";"57";"None";"RUE";"3290";"SAINT JOSEPH";"60200";"COMPIEGNE";"60";"159";"None";"AX";"226";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"340.0";"0.0";"S";"None";"250.0";"60159000AX0226";"60159";"000AX";11
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-06-19";"Vente";"89000";"99";"None";"RUE";"3290";"SAINT JOSEPH";"60200";"COMPIEGNE";"60";"159";"None";"AX";"86";"None";"48";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"65.0";"4.0";"None";"None";"nan";"60159000AX0086";"60159";"000AX";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-06-19";"Vente";"89000";"101";"None";"RUE";"3290";"SAINT JOSEPH";"60200";"COMPIEGNE";"60";"159";"None";"AX";"86";"None";"1";"68";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"65.0";"3.0";"None";"None";"nan";"60159000AX0086";"60159";"000AX";12
