Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-09-20";"Vente";"190000";"2";"None";"RUE";"1450";"GABRIEL";"60200";"COMPIEGNE";"60";"159";"None";"AY";"28";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"None";"92";"4";"S";"None";"682.0";"60159000AY0028";"60159";"000AY";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-12-09";"Vente";"178000";"10";"None";"RUE";"1450";"GABRIEL";"60200";"COMPIEGNE";"60";"159";"None";"AY";"32";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"None";"80";"4";"S";"None";"490.0";"60159000AY0032";"60159";"000AY";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-12-31";"Vente";"350000";"2";"None";"SQ";"3597";"DE VALMY";"60200";"COMPIEGNE";"60";"159";"None";"AY";"34";"None";"12";"115";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"None";"112";"4";"None";"None";"nan";"60159000AY0034";"60159";"000AY";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-06-24";"Vente";"187000";"6";"None";"RUE";"1450";"GABRIEL";"60200";"COMPIEGNE";"60";"159";"None";"AY";"30";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"None";"72";"4";"S";"None";"520.0";"60159000AY0030";"60159";"000AY";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-08-29";"Vente";"360000";"14";"None";"SQ";"3597";"DE VALMY";"60200";"COMPIEGNE";"60";"159";"None";"AY";"34";"None";"2";"180";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"None";"152";"5";"None";"None";"nan";"60159000AY0034";"60159";"000AY";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-09-23";"Vente";"300000";"4";"None";"SQ";"3597";"DE VALMY";"60200";"COMPIEGNE";"60";"159";"None";"AY";"34";"None";"10";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"None";"126";"4";"None";"None";"nan";"60159000AY0034";"60159";"000AY";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-11-20";"Vente";"280000";"16";"None";"AV";"2310";"DU MARECHAL FOCH";"60200";"COMPIEGNE";"60";"159";"None";"AY";"17";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"None";"112";"6";"S";"None";"421.0";"60159000AY0017";"60159";"000AY";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-05-30";"Vente";"100000";"11";"None";"SQ";"3597";"DE VALMY";"60200";"COMPIEGNE";"60";"159";"None";"AY";"34";"None";"38";"51";"62";"None";"81";"None";"None";"None";"None";"None";"3";"2";"Appartement";"None";"50";"2";"None";"None";"nan";"60159000AY0034";"60159";"000AY";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-09-20";"Vente";"327100";"9";"None";"SQ";"3597";"DE VALMY";"60200";"COMPIEGNE";"60";"159";"None";"AY";"34";"None";"5";"113";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"None";"111";"4";"None";"None";"nan";"60159000AY0034";"60159";"000AY";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-02-10";"Vente";"90790";"11";"None";"SQ";"3597";"DE VALMY";"60200";"COMPIEGNE";"60";"159";"None";"AY";"34";"None";"19";"None";"45";"34";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"None";"32";"1";"None";"None";"nan";"60159000AY0034";"60159";"000AY";9
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-03-28";"Vente";"220000";"10";"None";"SQ";"3597";"DE VALMY";"60200";"COMPIEGNE";"60";"159";"None";"AY";"34";"None";"107";"83";"120";"None";"144";"None";"None";"None";"None";"None";"3";"2";"Appartement";"None";"83";"4";"None";"None";"nan";"60159000AY0034";"60159";"000AY";10
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-05-18";"Vente";"123000";"11";"None";"SQ";"3597";"DE VALMY";"60200";"COMPIEGNE";"60";"159";"None";"AY";"34";"None";"49";"51";"67";"None";"87";"None";"None";"None";"None";"None";"3";"2";"Appartement";"None";"50";"2";"None";"None";"nan";"60159000AY0034";"60159";"000AY";11
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-07-10";"Vente";"212000";"11";"None";"SQ";"3597";"DE VALMY";"60200";"COMPIEGNE";"60";"159";"None";"AY";"34";"None";"44";"71";"65";"None";"85";"None";"None";"None";"None";"None";"3";"2";"Appartement";"None";"71";"3";"None";"None";"nan";"60159000AY0034";"60159";"000AY";12
