Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-18";"Vente";"97000";"120";"B";"BD";"1170";"DES ETATS UNIS";"60200";"COMPIEGNE";"60";"159";"None";"AZ";"58";"None";"119";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AZ0058";"60159";"000AZ";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-18";"Vente";"97000";"120";"None";"BD";"1170";"DES ETATS UNIS";"60200";"COMPIEGNE";"60";"159";"None";"AZ";"58";"None";"10";"50";"50";"0";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"49.0";"2.0";"None";"None";"nan";"60159000AZ0058";"60159";"000AZ";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-13";"Vente";"304000";"20";"B";"AV";"3000";"DE QUENNEVIERES";"60200";"COMPIEGNE";"60";"159";"None";"AZ";"166";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"116.0";"5.0";"S";"None";"509.0";"60159000AZ0166";"60159";"000AZ";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-06";"Vente";"400000";"13";"None";"AV";"2400";"DE LA MARNE";"60200";"COMPIEGNE";"60";"159";"None";"AZ";"183";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"138.0";"7.0";"J";"POTAG";"948.0";"60159000AZ0183";"60159";"000AZ";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-06";"Vente";"400000";"13";"None";"AV";"2400";"DE LA MARNE";"60200";"COMPIEGNE";"60";"159";"None";"AZ";"183";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"138.0";"7.0";"S";"None";"653.0";"60159000AZ0183";"60159";"000AZ";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-06";"Vente";"525730";"3";"None";"AV";"3510";"DE LA SOMME";"60200";"COMPIEGNE";"60";"159";"None";"AZ";"342";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"252.0";"7.0";"AG";"None";"742.0";"60159000AZ0342";"60159";"000AZ";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-06";"Vente";"525730";"3";"None";"AV";"3510";"DE LA SOMME";"60200";"COMPIEGNE";"60";"159";"None";"AZ";"342";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"252.0";"7.0";"S";"None";"500.0";"60159000AZ0342";"60159";"000AZ";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-23";"Vente";"486000";"23";"None";"AV";"2400";"DE LA MARNE";"60200";"COMPIEGNE";"60";"159";"None";"AZ";"170";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"160.0";"7.0";"S";"None";"530.0";"60159000AZ0170";"60159";"000AZ";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-23";"Vente";"486000";"23";"None";"AV";"2400";"DE LA MARNE";"60200";"COMPIEGNE";"60";"159";"None";"AZ";"170";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"160.0";"7.0";"AG";"None";"883.0";"60159000AZ0170";"60159";"000AZ";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-01";"Vente";"376800";"3";"B";"AV";"3510";"DE LA SOMME";"60200";"COMPIEGNE";"60";"159";"None";"AZ";"341";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"150.0";"6.0";"S";"None";"460.0";"60159000AZ0341";"60159";"000AZ";9
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-19";"Vente";"86500";"18";"None";"AV";"2140";"DE LA LIBERATION";"60200";"COMPIEGNE";"60";"159";"None";"AZ";"265";"None";"145";"34";"30";"None";"95";"None";"None";"None";"None";"None";"3";"2.0";"Appartement";"None";"33.0";"1.0";"None";"None";"nan";"60159000AZ0265";"60159";"000AZ";10
