Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-10";"Vente";"222125";"112";"None";"RUE";"3310";"SAINT LAZARE";"60200";"COMPIEGNE";"60";"159";"None";"BA";"92";"None";"14";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BA0092";"60159";"000BA";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-10";"Vente";"222125";"112";"None";"RUE";"3310";"SAINT LAZARE";"60200";"COMPIEGNE";"60";"159";"None";"BA";"92";"None";"34";"101";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1.0";"Maison";"None";"106.0";"4.0";"None";"None";"nan";"60159000BA0092";"60159";"000BA";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-10";"Vente";"222125";"112";"None";"RUE";"3310";"SAINT LAZARE";"60200";"COMPIEGNE";"60";"159";"None";"BA";"92";"None";"25";"None";"26";"None";"None";"None";"None";"None";"None";"None";"2";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BA0092";"60159";"000BA";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-21";"Vente";"129500";"128";"None";"BD";"1170";"DES ETATS UNIS";"60200";"COMPIEGNE";"60";"159";"None";"BA";"49";"None";"41";"81";"58";"0";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"81.0";"4.0";"None";"None";"nan";"60159000BA0049";"60159";"000BA";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-22";"Vente";"140000";"7";"None";"AV";"2140";"DE LA LIBERATION";"60200";"COMPIEGNE";"60";"159";"None";"BA";"34";"None";"43";"0";"6";"67";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"69.0";"4.0";"None";"None";"nan";"60159000BA0034";"60159";"000BA";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-22";"Vente";"140000";"7";"None";"AV";"2140";"DE LA LIBERATION";"60200";"COMPIEGNE";"60";"159";"None";"BA";"34";"None";"90";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BA0034";"60159";"000BA";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-10";"Vente";"210000";"9004";"None";"AV";"2140";"DE LA LIBERATION";"60200";"COMPIEGNE";"60";"159";"None";"BA";"49";"None";"243";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BA0049";"60159";"000BA";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-10";"Vente";"210000";"2";"B";"AV";"2140";"DE LA LIBERATION";"60200";"COMPIEGNE";"60";"159";"None";"BA";"49";"None";"140";"None";"90";"100";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"97.0";"5.0";"None";"None";"nan";"60159000BA0049";"60159";"000BA";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-21";"Vente";"125000";"9002";"None";"AV";"2140";"DE LA LIBERATION";"60200";"COMPIEGNE";"60";"159";"None";"BA";"49";"None";"195";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BA0049";"60159";"000BA";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-21";"Vente";"125000";"4";"None";"ALL";"2420";"DE MARTEVILLE";"60200";"COMPIEGNE";"60";"159";"None";"BA";"49";"None";"20";"None";"4";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"81.0";"4.0";"None";"None";"nan";"60159000BA0049";"60159";"000BA";8
