Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-05";"Vente";"6000";"13";"None";"RUE";"1720";"DE GRAMONT";"60200";"COMPIEGNE";"60";"159";"None";"BB";"142";"None";"151";"9";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BB0142";"60159";"000BB";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-22";"Vente";"600000";"13";"None";"AV";"1300";"DE LA FORET";"60200";"COMPIEGNE";"60";"159";"None";"BB";"10";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"145.0";"6.0";"S";"None";"1071.0";"60159000BB0010";"60159";"000BB";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-03";"Vente";"15000";"13";"None";"RUE";"1720";"DE GRAMONT";"60200";"COMPIEGNE";"60";"159";"None";"BB";"142";"None";"149";"8";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BB0142";"60159";"000BB";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-19";"Vente";"560000";"19";"B";"AV";"2890";"DU 1 ER SEPTEMBRE";"60200";"COMPIEGNE";"60";"159";"None";"BB";"35";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"200.0";"9.0";"AG";"None";"859.0";"60159000BB0035";"60159";"000BB";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-19";"Vente";"560000";"19";"B";"AV";"2890";"DU 1 ER SEPTEMBRE";"60200";"COMPIEGNE";"60";"159";"None";"BB";"35";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"200.0";"9.0";"S";"None";"965.0";"60159000BB0035";"60159";"000BB";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-09-27";"Vente";"738000";"17";"None";"RUE";"0070";"DE L AIGLE";"60200";"COMPIEGNE";"60";"159";"None";"BB";"121";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"300.0";"8.0";"AG";"None";"974.0";"60159000BB0121";"60159";"000BB";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-09-27";"Vente";"738000";"17";"None";"RUE";"0070";"DE L AIGLE";"60200";"COMPIEGNE";"60";"159";"None";"BB";"121";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"300.0";"8.0";"S";"None";"778.0";"60159000BB0121";"60159";"000BB";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-04-14";"Vente";"410000";"13";"None";"AV";"2890";"DU 1 ER SEPTEMBRE";"60200";"COMPIEGNE";"60";"159";"None";"BB";"40";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"123.0";"5.0";"AG";"None";"727.0";"60159000BB0040";"60159";"000BB";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-04-14";"Vente";"410000";"13";"None";"AV";"2890";"DU 1 ER SEPTEMBRE";"60200";"COMPIEGNE";"60";"159";"None";"BB";"40";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"123.0";"5.0";"S";"None";"561.0";"60159000BB0040";"60159";"000BB";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-06-30";"Vente";"3540202";"7";"None";"RUE";"1720";"DE GRAMONT";"60200";"COMPIEGNE";"60";"159";"None";"BB";"178";"None";"30";"22";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4.0";"Local industriel. commercial ou assimilé";"None";"0.0";"0.0";"None";"None";"nan";"60159000BB0178";"60159";"000BB";9
