Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-10";"Vente";"105000";"10";"None";"AV";"3560";"THIERS";"60200";"COMPIEGNE";"60";"159";"None";"BC";"77";"None";"45";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"12.0";"1.0";"None";"None";"nan";"60159000BC0077";"60159";"000BC";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-10";"Vente";"105000";"10";"None";"AV";"3560";"THIERS";"60200";"COMPIEGNE";"60";"159";"None";"BC";"77";"None";"13";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"29.0";"1.0";"None";"None";"nan";"60159000BC0077";"60159";"000BC";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-31";"Vente";"413000";"35";"B";"RUE";"1940";"HURTEBISE";"60200";"COMPIEGNE";"60";"159";"None";"BC";"94";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"70.0";"3.0";"S";"None";"143.0";"60159000BC0094";"60159";"000BC";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-31";"Vente";"413000";"35";"None";"RUE";"1940";"HURTEBISE";"60200";"COMPIEGNE";"60";"159";"None";"BC";"307";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"None";"None";"nan";"60159000BC0307";"60159";"000BC";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-31";"Vente";"413000";"35";"None";"RUE";"1940";"HURTEBISE";"60200";"COMPIEGNE";"60";"159";"None";"BC";"309";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"2.0";"60159000BC0309";"60159";"000BC";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-24";"Vente";"141500";"45";"None";"RUE";"1940";"HURTEBISE";"60200";"COMPIEGNE";"60";"159";"None";"BC";"282";"None";"59";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BC0282";"60159";"000BC";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-24";"Vente";"141500";"45";"None";"RUE";"1940";"HURTEBISE";"60200";"COMPIEGNE";"60";"159";"None";"BC";"282";"None";"34";"54";"45";"0";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"54.0";"3.0";"None";"None";"nan";"60159000BC0282";"60159";"000BC";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"460000";"24";"None";"AV";"3560";"THIERS";"60200";"COMPIEGNE";"60";"159";"None";"BC";"281";"None";"303";"130";"371";"0";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"127.0";"3.0";"None";"None";"nan";"60159000BC0281";"60159";"000BC";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-15";"Vente";"1";"24";"None";"AV";"3560";"THIERS";"60200";"COMPIEGNE";"60";"159";"None";"BC";"281";"None";"348";"7";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"68.0";"2.0";"None";"None";"nan";"60159000BC0281";"60159";"000BC";8
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-03-15";"Vente";"1";"24";"None";"AV";"3560";"THIERS";"60200";"COMPIEGNE";"60";"159";"None";"BC";"281";"None";"345";"7";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BC0281";"60159";"000BC";9
