Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-29";"Vente";"221500";"81";"None";"RUE";"0550";"CARNOT";"60200";"COMPIEGNE";"60";"159";"None";"BD";"290";"None";"96";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BD0290";"60159";"000BD";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-29";"Vente";"221500";"81";"None";"RUE";"0550";"CARNOT";"60200";"COMPIEGNE";"60";"159";"None";"BD";"290";"None";"43";"79";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"79.0";"4.0";"None";"None";"nan";"60159000BD0290";"60159";"000BD";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-29";"Vente";"221500";"81";"None";"RUE";"0550";"CARNOT";"60200";"COMPIEGNE";"60";"159";"None";"BD";"290";"None";"47";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BD0290";"60159";"000BD";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-06";"Vente";"148000";"27";"None";"PL";"0549";"CARNOT";"60200";"COMPIEGNE";"60";"159";"None";"BD";"356";"None";"19";"77";"65";"0";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"77.0";"4.0";"None";"None";"nan";"60159000BD0356";"60159";"000BD";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-06";"Vente";"148000";"27";"None";"PL";"0549";"CARNOT";"60200";"COMPIEGNE";"60";"159";"None";"BD";"356";"None";"92";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BD0356";"60159";"000BD";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-25";"Vente";"177000";"75";"None";"RUE";"0550";"CARNOT";"60200";"COMPIEGNE";"60";"159";"None";"BD";"263";"None";"642";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BD0263";"60159";"000BD";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-25";"Vente";"177000";"75";"None";"RUE";"0550";"CARNOT";"60200";"COMPIEGNE";"60";"159";"None";"BD";"263";"None";"408";"0";"522";"85";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"85.0";"3.0";"None";"None";"nan";"60159000BD0263";"60159";"000BD";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-29";"Vente";"202000";"7";"None";"RUE";"1670";"GEORGES GOUIGOUX";"60200";"COMPIEGNE";"60";"159";"None";"BD";"82";"None";"42";"94";"67";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"92.0";"5.0";"None";"None";"nan";"60159000BD0082";"60159";"000BD";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-29";"Vente";"202000";"9003";"None";"RUE";"1670";"GEORGES GOUIGOUX";"60200";"COMPIEGNE";"60";"159";"None";"BD";"82";"None";"91";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BD0082";"60159";"000BD";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-14";"Vente";"230000";"8";"None";"RUE";"0470";"DE BOURNONVILLE";"60200";"COMPIEGNE";"60";"159";"None";"BD";"329";"None";"358";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BD0329";"60159";"000BD";9
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-14";"Vente";"230000";"8";"None";"RUE";"0470";"DE BOURNONVILLE";"60200";"COMPIEGNE";"60";"159";"None";"BD";"329";"None";"28";"91";"58";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"92.0";"4.0";"None";"None";"nan";"60159000BD0329";"60159";"000BD";9
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-29";"Vente";"270000";"7";"None";"RUE";"1670";"GEORGES GOUIGOUX";"60200";"COMPIEGNE";"60";"159";"None";"BD";"82";"None";"24";"102";"61";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"90.0";"4.0";"None";"None";"nan";"60159000BD0082";"60159";"000BD";11
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-07";"Vente";"645988";"49";"None";"RUE";"0550";"CARNOT";"60200";"COMPIEGNE";"60";"159";"None";"BD";"123";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"100.0";"4.0";"S";"None";"256.0";"60159000BD0123";"60159";"000BD";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-07";"Vente";"645988";"24";"None";"RUE";"0730";"DE CLAMART";"60200";"COMPIEGNE";"60";"159";"None";"BD";"658";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"21.0";"60159000BD0658";"60159";"000BD";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-19";"Vente";"171000";"8";"None";"RUE";"0470";"DE BOURNONVILLE";"60200";"COMPIEGNE";"60";"159";"None";"BD";"329";"None";"394";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BD0329";"60159";"000BD";14
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-19";"Vente";"171000";"8";"B";"RUE";"0470";"DE BOURNONVILLE";"60200";"COMPIEGNE";"60";"159";"None";"BD";"329";"None";"149";"75";"172";"0";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"74.0";"3.0";"None";"None";"nan";"60159000BD0329";"60159";"000BD";14
