Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-06-08";"Vente";"200000";"5";"None";"RUE";"0180";"ANCEL";"60200";"COMPIEGNE";"60";"159";"None";"BE";"165";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"245.0";"60159000BE0165";"60159";"000BE";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-06-08";"Vente";"200000";"5";"None";"RUE";"0180";"ANCEL";"60200";"COMPIEGNE";"60";"159";"None";"BE";"164";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"83.0";"4.0";"S";"None";"364.0";"60159000BE0164";"60159";"000BE";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-27";"Vente";"365000";"50";"None";"RUE";"3180";"DES SABLONS";"60200";"COMPIEGNE";"60";"159";"None";"BE";"212";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"80.0";"4.0";"S";"None";"570.0";"60159000BE0212";"60159";"000BE";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-29";"Vente";"240000";"28";"None";"RUE";"2070";"DE LA JUSTICE";"60200";"COMPIEGNE";"60";"159";"None";"BE";"84";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"121.0";"4.0";"S";"None";"200.0";"60159000BE0084";"60159";"000BE";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-29";"Vente";"240000";"3";"None";"IMP";"2060";"DE LA JUSTICE";"60200";"COMPIEGNE";"60";"159";"None";"BE";"276";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"67.0";"60159000BE0276";"60159";"000BE";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-29";"Vente";"240000";"3";"None";"IMP";"2060";"DE LA JUSTICE";"60200";"COMPIEGNE";"60";"159";"None";"BE";"276";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"67.0";"60159000BE0276";"60159";"000BE";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-14";"Vente";"419000";"69";"B";"RUE";"0730";"DE CLAMART";"60200";"COMPIEGNE";"60";"159";"None";"BE";"127";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"87.0";"3.0";"S";"None";"376.0";"60159000BE0127";"60159";"000BE";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-05";"Vente";"163000";"7";"None";"RUE";"2070";"DE LA JUSTICE";"60200";"COMPIEGNE";"60";"159";"None";"BE";"40";"None";"36";"0";"68";"76";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"75.0";"4.0";"None";"None";"nan";"60159000BE0040";"60159";"000BE";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-05";"Vente";"163000";"9002";"None";"RUE";"2070";"DE LA JUSTICE";"60200";"COMPIEGNE";"60";"159";"None";"BE";"40";"None";"125";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BE0040";"60159";"000BE";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-15";"Vente";"108000";"18";"None";"RUE";"2070";"DE LA JUSTICE";"60200";"COMPIEGNE";"60";"159";"None";"BE";"25";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"72.0";"5.0";"S";"None";"96.0";"60159000BE0025";"60159";"000BE";8
