Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-08";"Vente";"433000";"3";"B";"IMP";"2000";"JEANNETOT";"60200";"COMPIEGNE";"60";"159";"None";"BH";"94";"None";"10";"153";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1.0";"Maison";"None";"153.0";"6.0";"None";"None";"nan";"60159000BH0094";"60159";"000BH";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"120000";"19";"None";"RUE";"3180";"DES SABLONS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"148";"None";"10";"None";"3";"42";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"41.0";"2.0";"None";"None";"nan";"60159000BH0148";"60159";"000BH";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"120000";"19";"None";"RUE";"3180";"DES SABLONS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"148";"None";"14";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BH0148";"60159";"000BH";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-19";"Vente";"14000";"19";"None";"RUE";"3180";"DES SABLONS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"148";"None";"13";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BH0148";"60159";"000BH";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"150000";"59";"None";"RUE";"2660";"DE PARIS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"165";"None";"42";"60";"52";"0";"None";"None";"None";"None";"None";"None";"2";"4.0";"Local industriel. commercial ou assimilé";"None";"62.0";"0.0";"None";"None";"nan";"60159000BH0165";"60159";"000BH";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-30";"Vente";"390000";"15";"None";"RUE";"3180";"DES SABLONS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"151";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"143.0";"8.0";"S";"None";"672.0";"60159000BH0151";"60159";"000BH";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-16";"Vente";"15000";"19";"None";"RUE";"3180";"DES SABLONS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"148";"None";"15";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BH0148";"60159";"000BH";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-11";"Vente";"70000";"2";"None";"RUE";"2020";"JOSEPH LEPRINCE";"60200";"COMPIEGNE";"60";"159";"None";"BH";"40";"None";"127";"18";"141";"0";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"25.0";"1.0";"None";"None";"nan";"60159000BH0040";"60159";"000BH";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-11";"Vente";"70000";"33";"None";"RUE";"1040";"DES DOMELIERS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"42";"None";"16";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BH0042";"60159";"000BH";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-16";"Vente";"65000";"19";"None";"RUE";"3180";"DES SABLONS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"148";"None";"20";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BH0148";"60159";"000BH";9
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-16";"Vente";"65000";"19";"None";"RUE";"3180";"DES SABLONS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"148";"None";"21";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BH0148";"60159";"000BH";9
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-16";"Vente";"65000";"19";"None";"RUE";"3180";"DES SABLONS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"148";"None";"22";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BH0148";"60159";"000BH";9
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-16";"Vente";"65000";"19";"None";"RUE";"3180";"DES SABLONS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"148";"None";"17";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BH0148";"60159";"000BH";9
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-16";"Vente";"65000";"19";"None";"RUE";"3180";"DES SABLONS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"148";"None";"16";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BH0148";"60159";"000BH";9
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-16";"Vente";"475000";"13";"None";"SQ";"0760";"CLAUDE MERCIER";"60200";"COMPIEGNE";"60";"159";"None";"BH";"55";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"140.0";"6.0";"S";"None";"444.0";"60159000BH0055";"60159";"000BH";14
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-10";"Vente";"538000";"6";"None";"IMP";"1060";"DUPUY CORREARD";"60200";"COMPIEGNE";"60";"159";"None";"BH";"207";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"None";"None";"nan";"60159000BH0207";"60159";"000BH";15
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-10";"Vente";"178000";"33";"None";"RUE";"1040";"DES DOMELIERS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"40";"None";"47";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BH0040";"60159";"000BH";16
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-10";"Vente";"178000";"2";"None";"RUE";"2020";"JOSEPH LEPRINCE";"60200";"COMPIEGNE";"60";"159";"None";"BH";"40";"None";"160";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BH0040";"60159";"000BH";16
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-10";"Vente";"178000";"33";"None";"RUE";"1040";"DES DOMELIERS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"40";"None";"32";"67";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"70.0";"3.0";"None";"None";"nan";"60159000BH0040";"60159";"000BH";16
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-28";"Vente";"85000";"57";"B";"RUE";"2660";"DE PARIS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"165";"None";"28";"43";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"43.0";"2.0";"None";"None";"nan";"60159000BH0165";"60159";"000BH";19
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-28";"Vente";"85000";"57";"B";"RUE";"2660";"DE PARIS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"165";"None";"39";"16";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BH0165";"60159";"000BH";19
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-20";"Vente";"765000";"5";"T";"IMP";"1060";"DUPUY CORREARD";"60200";"COMPIEGNE";"60";"159";"None";"BH";"208";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"268.0";"7.0";"S";"None";"836.0";"60159000BH0208";"60159";"000BH";21
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-20";"Vente";"765000";"None";"None";"IMP";"1060";"DUPUY CORREARD";"60200";"COMPIEGNE";"60";"159";"None";"BH";"209";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"None";"None";"nan";"60159000BH0209";"60159";"000BH";21
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-08";"Vente";"13000";"2";"None";"RUE";"2020";"JOSEPH LEPRINCE";"60200";"COMPIEGNE";"60";"159";"None";"BH";"40";"None";"169";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BH0040";"60159";"000BH";23
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-09-18";"Vente";"132000";"33";"None";"RUE";"1040";"DES DOMELIERS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"40";"None";"78";"42";"81";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"42.0";"2.0";"None";"None";"nan";"60159000BH0040";"60159";"000BH";24
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-09-18";"Vente";"132000";"33";"None";"RUE";"1040";"DES DOMELIERS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"42";"None";"29";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BH0042";"60159";"000BH";24
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-09-09";"Vente";"248000";"11";"None";"RUE";"3180";"DES SABLONS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"173";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"134.0";"4.0";"S";"None";"707.0";"60159000BH0173";"60159";"000BH";26
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-09-30";"Vente";"78000";"2";"None";"RUE";"2020";"JOSEPH LEPRINCE";"60200";"COMPIEGNE";"60";"159";"None";"BH";"40";"None";"131";"24";"138";"0";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"29.0";"1.0";"None";"None";"nan";"60159000BH0040";"60159";"000BH";27
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-09-30";"Vente";"78000";"2";"None";"RUE";"2020";"JOSEPH LEPRINCE";"60200";"COMPIEGNE";"60";"159";"None";"BH";"42";"None";"18";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BH0042";"60159";"000BH";27
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-10-09";"Vente";"14800";"2";"None";"RUE";"2020";"JOSEPH LEPRINCE";"60200";"COMPIEGNE";"60";"159";"None";"BH";"40";"None";"168";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BH0040";"60159";"000BH";29
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-11-04";"Vente";"160000";"23";"None";"RUE";"3180";"DES SABLONS";"60200";"COMPIEGNE";"60";"159";"None";"BH";"145";"None";"4";"65";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1.0";"Maison";"None";"50.0";"4.0";"None";"None";"nan";"60159000BH0145";"60159";"000BH";30
