Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-03";"Vente";"172000";"6";"None";"RUE";"0540";"DES CAPUCINS";"60200";"COMPIEGNE";"60";"159";"None";"BI";"442";"None";"238";"73";"399";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"73.0";"3.0";"None";"None";"nan";"60159000BI0442";"60159";"000BI";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-31";"Vente";"590000";"73";"None";"RUE";"2660";"DE PARIS";"60200";"COMPIEGNE";"60";"159";"None";"BI";"152";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"151.0";"8.0";"S";"None";"374.0";"60159000BI0152";"60159";"000BI";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"204000";"4";"B";"RUE";"1100";"L EGLISE ST GERMAIN";"60200";"COMPIEGNE";"60";"159";"None";"BI";"263";"None";"118";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BI0263";"60159";"000BI";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"204000";"4";"None";"RUE";"1100";"L EGLISE ST GERMAIN";"60200";"COMPIEGNE";"60";"159";"None";"BI";"263";"None";"8";"87";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"87.0";"4.0";"None";"None";"nan";"60159000BI0263";"60159";"000BI";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-14";"Vente";"300000";"5";"None";"PL";"0916";"CX BLANCHE COUR DES FEMMES";"60200";"COMPIEGNE";"60";"159";"None";"BI";"442";"None";"222";"104";"365";"None";"366";"None";"None";"None";"None";"None";"3";"2.0";"Appartement";"None";"103.0";"4.0";"None";"None";"nan";"60159000BI0442";"60159";"000BI";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-04";"Vente";"49000";"20";"None";"RUE";"3290";"SAINT JOSEPH";"60200";"COMPIEGNE";"60";"159";"None";"BI";"154";"None";"3";"0";"7";"13";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"20.0";"1.0";"None";"None";"nan";"60159000BI0154";"60159";"000BI";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-24";"Vente";"72000";"12";"None";"RUE";"1100";"L EGLISE ST GERMAIN";"60200";"COMPIEGNE";"60";"159";"None";"BI";"256";"None";"44";"23";"62";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"22.0";"1.0";"None";"None";"nan";"60159000BI0256";"60159";"000BI";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-05";"Vente";"125000";"31";"None";"RUE";"2570";"N D DE BON SECOURS";"60200";"COMPIEGNE";"60";"159";"None";"BI";"266";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"47.0";"2.0";"S";"None";"87.0";"60159000BI0266";"60159";"000BI";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-31";"Vente";"400000";"33";"B";"BD";"1480";"GAMBETTA";"60200";"COMPIEGNE";"60";"159";"None";"BI";"245";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"129.0";"7.0";"S";"None";"398.0";"60159000BI0245";"60159";"000BI";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-04";"Vente";"90000";"42";"B";"RUE";"2660";"DE PARIS";"60200";"COMPIEGNE";"60";"159";"None";"BI";"413";"None";"128";"24";"212";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"26.0";"1.0";"None";"None";"nan";"60159000BI0413";"60159";"000BI";9
