Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-23";"Vente en l'état futur d'achèvement";"137500";"None";"None";"None";"None";"None";"None";"COMPIEGNE";"60";"159";"None";"BK";"200";"None";"36";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"nan";"None";"None";"nan";"nan";"None";"None";"nan";"60159000BK0200";"60159";"000BK";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-23";"Vente en l'état futur d'achèvement";"137500";"None";"None";"None";"None";"None";"None";"COMPIEGNE";"60";"159";"None";"BK";"200";"None";"8";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"nan";"None";"None";"nan";"nan";"None";"None";"nan";"60159000BK0200";"60159";"000BK";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-15";"Vente en l'état futur d'achèvement";"239799";"None";"None";"None";"None";"None";"None";"COMPIEGNE";"60";"159";"None";"BK";"207";"None";"11";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"nan";"None";"None";"nan";"nan";"None";"None";"nan";"60159000BK0207";"60159";"000BK";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-15";"Vente en l'état futur d'achèvement";"239799";"None";"None";"None";"None";"None";"None";"COMPIEGNE";"60";"159";"None";"BK";"207";"None";"31";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"nan";"None";"None";"nan";"nan";"None";"None";"nan";"60159000BK0207";"60159";"000BK";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-02";"Vente en l'état futur d'achèvement";"131926";"None";"None";"None";"None";"None";"None";"COMPIEGNE";"60";"159";"None";"BK";"200";"None";"26";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"nan";"None";"None";"nan";"nan";"None";"None";"nan";"60159000BK0200";"60159";"000BK";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-02";"Vente en l'état futur d'achèvement";"131926";"None";"None";"None";"None";"None";"None";"COMPIEGNE";"60";"159";"None";"BK";"207";"None";"20";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"nan";"None";"None";"nan";"nan";"None";"None";"nan";"60159000BK0207";"60159";"000BK";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-27";"Vente";"390000";"6";"None";"RUE";"3120";"ROGER COUTTOLENC";"60200";"COMPIEGNE";"60";"159";"None";"BK";"83";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"160.0";"9.0";"S";"None";"502.0";"60159000BK0083";"60159";"000BK";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-16";"Vente";"88000";"19";"None";"RUE";"2590";"DE L OISE";"60200";"COMPIEGNE";"60";"159";"None";"BK";"133";"None";"24";"33";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"34.0";"1.0";"None";"None";"nan";"60159000BK0133";"60159";"000BK";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-23";"Vente en l'état futur d'achèvement";"128600";"None";"None";"None";"None";"None";"None";"COMPIEGNE";"60";"159";"None";"BK";"200";"None";"25";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"nan";"None";"None";"nan";"nan";"None";"None";"nan";"60159000BK0200";"60159";"000BK";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-23";"Vente en l'état futur d'achèvement";"128600";"None";"None";"None";"None";"None";"None";"COMPIEGNE";"60";"159";"None";"BK";"207";"None";"9";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"nan";"None";"None";"nan";"nan";"None";"None";"nan";"60159000BK0207";"60159";"000BK";8
