Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-16";"Vente";"102904";"38";"None";"RUE";"3230";"SAINT CORNEILLE";"60200";"COMPIEGNE";"60";"159";"None";"BL";"52";"None";"3";"34";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"40.0";"2.0";"None";"None";"nan";"60159000BL0052";"60159";"000BL";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-30";"Vente";"100000";"38";"None";"RUE";"3230";"SAINT CORNEILLE";"60200";"COMPIEGNE";"60";"159";"None";"BL";"52";"None";"4";"26";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"35.0";"2.0";"None";"None";"nan";"60159000BL0052";"60159";"000BL";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-21";"Vente";"114500";"7";"None";"RUE";"0480";"DE BOUVINES";"60200";"COMPIEGNE";"60";"159";"None";"BL";"33";"None";"3";"47";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"48.0";"2.0";"None";"None";"nan";"60159000BL0033";"60159";"000BL";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-21";"Vente";"114500";"7";"None";"RUE";"0480";"DE BOUVINES";"60200";"COMPIEGNE";"60";"159";"None";"BL";"33";"None";"19";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BL0033";"60159";"000BL";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-20";"Vente";"135000";"44";"None";"RUE";"1990";"JEANNE D ARC";"60200";"COMPIEGNE";"60";"159";"None";"BL";"42";"None";"3";"47";"4";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"47.0";"2.0";"None";"None";"nan";"60159000BL0042";"60159";"000BL";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-03";"Vente";"210000";"19";"None";"RUE";"2660";"DE PARIS";"60200";"COMPIEGNE";"60";"159";"None";"BL";"126";"None";"11";"0";"14";"84";"15";"0";"16";"0";"17";"0";"7";"2.0";"Appartement";"None";"68.0";"3.0";"None";"None";"nan";"60159000BL0126";"60159";"000BL";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-16";"Vente";"129500";"1";"None";"RUE";"0540";"DES CAPUCINS";"60200";"COMPIEGNE";"60";"159";"None";"BL";"169";"None";"130";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BL0169";"60159";"000BL";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-16";"Vente";"129500";"1";"None";"RUE";"0540";"DES CAPUCINS";"60200";"COMPIEGNE";"60";"159";"None";"BL";"169";"None";"15";"45";"66";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"45.0";"2.0";"None";"None";"nan";"60159000BL0169";"60159";"000BL";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-15";"Vente";"140000";"11";"None";"RUE";"0480";"DE BOUVINES";"60200";"COMPIEGNE";"60";"159";"None";"BL";"15";"None";"184";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BL0015";"60159";"000BL";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-15";"Vente";"140000";"10";"None";"RUE";"2767";"PHILIPPE AUGUSTE";"60200";"COMPIEGNE";"60";"159";"None";"BL";"15";"None";"116";"60";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"60.0";"2.0";"None";"None";"nan";"60159000BL0015";"60159";"000BL";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-09";"Vente";"1000";"4";"None";"RUE";"2690";"PASTEUR";"60200";"COMPIEGNE";"60";"159";"None";"BL";"114";"None";"9";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"89.0";"5.0";"None";"None";"nan";"60159000BL0114";"60159";"000BL";10
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-26";"Vente";"445000";"26";"None";"RUE";"0890";"DES CORDELIERS";"60200";"COMPIEGNE";"60";"159";"None";"BL";"192";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"210.0";"6.0";"S";"None";"393.0";"60159000BL0192";"60159";"000BL";11
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-12";"Vente";"700000";"5";"None";"RUE";"3200";"SAINT ANTOINE";"60200";"COMPIEGNE";"60";"159";"None";"BL";"79";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"46.0";"3.0";"S";"None";"584.0";"60159000BL0079";"60159";"000BL";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-12";"Vente";"700000";"5";"None";"RUE";"3200";"SAINT ANTOINE";"60200";"COMPIEGNE";"60";"159";"None";"BL";"79";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"139.0";"6.0";"S";"None";"584.0";"60159000BL0079";"60159";"000BL";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-17";"Vente";"315000";"36";"B";"RUE";"2660";"DE PARIS";"60200";"COMPIEGNE";"60";"159";"None";"BL";"164";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"75.0";"4.0";"S";"None";"134.0";"60159000BL0164";"60159";"000BL";14
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-22";"Vente";"515000";"3";"B";"RUE";"2690";"PASTEUR";"60200";"COMPIEGNE";"60";"159";"None";"BL";"105";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"160.0";"11.0";"S";"None";"116.0";"60159000BL0105";"60159";"000BL";15
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-24";"Vente";"430000";"46";"None";"RUE";"1990";"JEANNE D ARC";"60200";"COMPIEGNE";"60";"159";"None";"BL";"44";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"94.0";"4.0";"S";"None";"105.0";"60159000BL0044";"60159";"000BL";16
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-24";"Vente";"430000";"46";"None";"RUE";"1990";"JEANNE D ARC";"60200";"COMPIEGNE";"60";"159";"None";"BL";"44";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"98.0";"0.0";"S";"None";"105.0";"60159000BL0044";"60159";"000BL";16
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-09";"Vente";"66500";"7";"None";"RUE";"0480";"DE BOUVINES";"60200";"COMPIEGNE";"60";"159";"None";"BL";"33";"None";"14";"None";"7";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"28.0";"1.0";"None";"None";"nan";"60159000BL0033";"60159";"000BL";18
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-01";"Vente";"81000";"1";"None";"RUE";"0540";"DES CAPUCINS";"60200";"COMPIEGNE";"60";"159";"None";"BL";"169";"None";"52";"26";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"25.0";"1.0";"None";"None";"nan";"60159000BL0169";"60159";"000BL";19
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-01";"Vente";"81000";"1";"None";"RUE";"0540";"DES CAPUCINS";"60200";"COMPIEGNE";"60";"159";"None";"BL";"169";"None";"86";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BL0169";"60159";"000BL";19
