Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-29";"Vente";"16000";"5";"None";"RUE";"1040";"DES DOMELIERS";"60200";"COMPIEGNE";"60";"159";"None";"BM";"37";"None";"500";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BM0037";"60159";"000BM";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-27";"Vente";"160000";"9";"None";"RUE";"0550";"CARNOT";"60200";"COMPIEGNE";"60";"159";"None";"BM";"5";"None";"11";"70";"31";"0";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"70.0";"3.0";"None";"None";"nan";"60159000BM0005";"60159";"000BM";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-27";"Vente";"160000";"9";"None";"RUE";"0550";"CARNOT";"60200";"COMPIEGNE";"60";"159";"None";"BM";"5";"None";"64";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BM0005";"60159";"000BM";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-22";"Vente";"580000";"17";"None";"RUE";"0550";"CARNOT";"60200";"COMPIEGNE";"60";"159";"None";"BM";"8";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"220.0";"9.0";"S";"None";"593.0";"60159000BM0008";"60159";"000BM";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"240000";"17";"None";"RUE";"1040";"DES DOMELIERS";"60200";"COMPIEGNE";"60";"159";"None";"BM";"27";"None";"63";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BM0027";"60159";"000BM";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"240000";"19";"None";"RUE";"1040";"DES DOMELIERS";"60200";"COMPIEGNE";"60";"159";"None";"BM";"27";"None";"106";"None";"138";"86";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"82.0";"4.0";"None";"None";"nan";"60159000BM0027";"60159";"000BM";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-14";"Vente";"625000";"5";"None";"RUE";"1040";"DES DOMELIERS";"60200";"COMPIEGNE";"60";"159";"None";"BM";"37";"None";"437";"138";"453";"0";"530";"0";"None";"None";"None";"None";"3";"2.0";"Appartement";"None";"144.0";"5.0";"None";"None";"nan";"60159000BM0037";"60159";"000BM";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-04";"Vente";"134000";"2";"None";"RUE";"3650";"VERMENTON";"60200";"COMPIEGNE";"60";"159";"None";"BM";"111";"None";"1";"47";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"70.0";"3.0";"None";"None";"nan";"60159000BM0111";"60159";"000BM";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-20";"Vente";"195000";"5";"None";"RUE";"1040";"DES DOMELIERS";"60200";"COMPIEGNE";"60";"159";"None";"BM";"37";"None";"431";"67";"445";"29";"454";"0";"None";"None";"None";"None";"3";"2.0";"Appartement";"None";"65.0";"3.0";"None";"None";"nan";"60159000BM0037";"60159";"000BM";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-08";"Vente";"370000";"5";"None";"RUE";"1040";"DES DOMELIERS";"60200";"COMPIEGNE";"60";"159";"None";"BM";"37";"None";"406";"58";"462";"None";"522";"None";"None";"None";"None";"None";"3";"2.0";"Appartement";"None";"48.0";"2.0";"None";"None";"nan";"60159000BM0037";"60159";"000BM";9
