Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-28";"Vente";"210000";"15";"None";"RUE";"1380";"FOURNIER SARLOVEZE";"60200";"COMPIEGNE";"60";"159";"None";"BN";"43";"None";"13";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BN0043";"60159";"000BN";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-28";"Vente";"210000";"15";"None";"RUE";"1380";"FOURNIER SARLOVEZE";"60200";"COMPIEGNE";"60";"159";"None";"BN";"43";"None";"8";"59";"9";"59";"None";"None";"None";"None";"None";"None";"2";"4.0";"Local industriel. commercial ou assimilé";"None";"130.0";"0.0";"None";"None";"nan";"60159000BN0043";"60159";"000BN";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-28";"Vente";"210000";"15";"None";"RUE";"1380";"FOURNIER SARLOVEZE";"60200";"COMPIEGNE";"60";"159";"None";"BN";"43";"None";"12";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BN0043";"60159";"000BN";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-14";"Vente";"240000";"33";"None";"RUE";"1380";"FOURNIER SARLOVEZE";"60200";"COMPIEGNE";"60";"159";"None";"BN";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"42.0";"0.0";"S";"None";"59.0";"60159000BN0001";"60159";"000BN";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-14";"Vente";"240000";"33";"None";"RUE";"1380";"FOURNIER SARLOVEZE";"60200";"COMPIEGNE";"60";"159";"None";"BN";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"50.0";"2.0";"S";"None";"59.0";"60159000BN0001";"60159";"000BN";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-11";"Vente";"130000";"9";"None";"RUE";"2820";"DE PIERREFONDS";"60200";"COMPIEGNE";"60";"159";"None";"BN";"5";"None";"2";"5";"4";"50";"5";"13";"None";"None";"None";"None";"3";"4.0";"Local industriel. commercial ou assimilé";"None";"42.0";"0.0";"None";"None";"nan";"60159000BN0005";"60159";"000BN";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-22";"Vente";"1100000";"None";"None";"RUE";"3520";"DE LA SOUS PREFECTURE";"60200";"COMPIEGNE";"60";"159";"None";"BN";"53";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AG";"None";"1203.0";"60159000BN0053";"60159";"000BN";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-22";"Vente";"1100000";"19";"None";"RUE";"3520";"DE LA SOUS PREFECTURE";"60200";"COMPIEGNE";"60";"159";"None";"BN";"54";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"300.0";"10.0";"S";"None";"335.0";"60159000BN0054";"60159";"000BN";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-12-17";"Vente";"10000";"15";"None";"RUE";"1380";"FOURNIER SARLOVEZE";"60200";"COMPIEGNE";"60";"159";"None";"BN";"43";"None";"4";"18";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"20.0";"1.0";"None";"None";"nan";"60159000BN0043";"60159";"000BN";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-12-19";"Vente";"218011";"17";"None";"RUE";"1380";"FOURNIER SARLOVEZE";"60200";"COMPIEGNE";"60";"159";"None";"BN";"42";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"95.0";"0.0";"S";"None";"172.0";"60159000BN0042";"60159";"000BN";9
