Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-17";"Vente";"400000";"1";"None";"RUE";"0960";"DU DAHOMEY";"60200";"COMPIEGNE";"60";"159";"None";"BO";"51";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"248.0";"0.0";"S";"None";"122.0";"60159000BO0051";"60159";"000BO";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-25";"Vente";"42000";"4";"None";"RUE";"1380";"FOURNIER SARLOVEZE";"60200";"COMPIEGNE";"60";"159";"None";"BO";"72";"None";"9";"20";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"18.0";"1.0";"None";"None";"nan";"60159000BO0072";"60159";"000BO";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-27";"Vente";"30000";"9001";"None";"PL";"3280";"SAINT JACQUES";"60200";"COMPIEGNE";"60";"159";"None";"BO";"97";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"12.0";"0.0";"S";"None";"13.0";"60159000BO0097";"60159";"000BO";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-27";"Vente";"30000";"9001";"None";"PL";"3280";"SAINT JACQUES";"60200";"COMPIEGNE";"60";"159";"None";"BO";"97";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"0.0";"0.0";"S";"None";"13.0";"60159000BO0097";"60159";"000BO";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-17";"Vente";"260000";"22";"None";"RUE";"1380";"FOURNIER SARLOVEZE";"60200";"COMPIEGNE";"60";"159";"None";"BO";"82";"None";"14";"0";"19";"0";"7";"73";"None";"None";"None";"None";"3";"2.0";"Appartement";"None";"80.0";"4.0";"None";"None";"nan";"60159000BO0082";"60159";"000BO";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-17";"Vente";"260000";"3";"None";"RUE";"2240";"MAGENTA";"60200";"COMPIEGNE";"60";"159";"None";"BO";"82";"None";"12";"0";"13";"0";"18";"0";"6";"173";"None";"None";"4";"4.0";"Local industriel. commercial ou assimilé";"None";"185.0";"0.0";"None";"None";"nan";"60159000BO0082";"60159";"000BO";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-27";"Vente";"1260000";"3";"None";"RUE";"3520";"DE LA SOUS PREFECTURE";"60200";"COMPIEGNE";"60";"159";"None";"BO";"74";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"1234.0";"0.0";"S";"None";"1308.0";"60159000BO0074";"60159";"000BO";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-10";"Vente";"443250";"41";"None";"RUE";"2810";"PIERRE SAUVAGE";"60200";"COMPIEGNE";"60";"159";"None";"BO";"30";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"317.0";"0.0";"S";"None";"118.0";"60159000BO0030";"60159";"000BO";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-10";"Vente";"65000";"5";"None";"RUE";"2500";"DES MINIMES";"60200";"COMPIEGNE";"60";"159";"None";"BO";"44";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"67.0";"3.0";"S";"None";"42.0";"60159000BO0044";"60159";"000BO";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-29";"Vente";"230000";"13";"None";"RUE";"1977";"JEAN LEGENDRE";"60200";"COMPIEGNE";"60";"159";"None";"BO";"15";"None";"2";"99";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"98.0";"5.0";"None";"None";"nan";"60159000BO0015";"60159";"000BO";9
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-11-13";"Vente";"182000";"4";"None";"RUE";"1380";"FOURNIER SARLOVEZE";"60200";"COMPIEGNE";"60";"159";"None";"BO";"72";"None";"10";"None";"3";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"72.0";"3.0";"None";"None";"nan";"60159000BO0072";"60159";"000BO";10
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-12-23";"Vente";"312000";"8";"None";"PL";"1540";"DU GENERAL DE GAULLE";"60200";"COMPIEGNE";"60";"159";"None";"BO";"68";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"35.0";"60159000BO0068";"60159";"000BO";11
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-02-21";"Vente";"201000";"4";"None";"RUE";"1380";"FOURNIER SARLOVEZE";"60200";"COMPIEGNE";"60";"159";"None";"BO";"72";"None";"15";"0";"4";"102";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"102.0";"3.0";"None";"None";"nan";"60159000BO0072";"60159";"000BO";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-02-23";"Vente";"1";"28";"None";"RUE";"2810";"PIERRE SAUVAGE";"60200";"COMPIEGNE";"60";"159";"None";"BO";"6";"None";"9";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"47.0";"2.0";"None";"None";"nan";"60159000BO0006";"60159";"000BO";13
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-02-23";"Vente";"132000";"28";"None";"RUE";"2810";"PIERRE SAUVAGE";"60200";"COMPIEGNE";"60";"159";"None";"BO";"6";"None";"11";"35";"5";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"47.0";"2.0";"None";"None";"nan";"60159000BO0006";"60159";"000BO";14
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-03-16";"Vente";"267000";"4";"None";"RUE";"1380";"FOURNIER SARLOVEZE";"60200";"COMPIEGNE";"60";"159";"None";"BO";"72";"None";"12";"0";"2";"115";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"114.0";"3.0";"None";"None";"nan";"60159000BO0072";"60159";"000BO";15
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-03-31";"Vente";"225000";"41";"None";"RUE";"2810";"PIERRE SAUVAGE";"60200";"COMPIEGNE";"60";"159";"None";"BO";"30";"None";"1";"82";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4.0";"Local industriel. commercial ou assimilé";"None";"317.0";"0.0";"None";"None";"nan";"60159000BO0030";"60159";"000BO";16
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-05-05";"Vente";"428700";"16";"None";"RUE";"1380";"FOURNIER SARLOVEZE";"60200";"COMPIEGNE";"60";"159";"None";"BO";"79";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"186.0";"9.0";"S";"None";"167.0";"60159000BO0079";"60159";"000BO";17
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-05-30";"Vente";"100000";"1";"None";"RUE";"3520";"DE LA SOUS PREFECTURE";"60200";"COMPIEGNE";"60";"159";"None";"BO";"61";"None";"1";"26";"10";"None";"11";"None";"14";"None";"2";"None";"9";"2.0";"Appartement";"None";"65.0";"2.0";"None";"None";"nan";"60159000BO0061";"60159";"000BO";18
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-06-05";"Vente";"365000";"3";"None";"RUE";"2700";"DES PATISSIERS";"60200";"COMPIEGNE";"60";"159";"None";"BO";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"129.0";"4.0";"S";"None";"48.0";"60159000BO0003";"60159";"000BO";19
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-07-01";"Vente";"265000";"41";"None";"RUE";"2810";"PIERRE SAUVAGE";"60200";"COMPIEGNE";"60";"159";"None";"BO";"30";"None";"1";"82";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4.0";"Local industriel. commercial ou assimilé";"None";"317.0";"0.0";"None";"None";"nan";"60159000BO0030";"60159";"000BO";20
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-07-24";"Vente";"395000";"41";"None";"RUE";"2810";"PIERRE SAUVAGE";"60200";"COMPIEGNE";"60";"159";"None";"BO";"30";"None";"2";"85";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"77.0";"3.0";"None";"None";"nan";"60159000BO0030";"60159";"000BO";21
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-07-24";"Vente";"395000";"41";"None";"RUE";"2810";"PIERRE SAUVAGE";"60200";"COMPIEGNE";"60";"159";"None";"BO";"30";"None";"3";"85";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"81.0";"4.0";"None";"None";"nan";"60159000BO0030";"60159";"000BO";21
