Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-10";"Vente";"420000";"18";"None";"RUE";"1040";"DES DOMELIERS";"60200";"COMPIEGNE";"60";"159";"None";"BP";"105";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"33.0";"3.0";"S";"None";"172.0";"60159000BP0105";"60159";"000BP";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-10";"Vente";"420000";"18";"None";"RUE";"1040";"DES DOMELIERS";"60200";"COMPIEGNE";"60";"159";"None";"BP";"105";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"144.0";"5.0";"S";"None";"172.0";"60159000BP0105";"60159";"000BP";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-20";"Vente";"430000";"6";"None";"RUE";"3340";"SAINT MARTIN";"60200";"COMPIEGNE";"60";"159";"None";"BP";"32";"None";"1";"34";"5";"0";"None";"None";"None";"None";"None";"None";"2";"4.0";"Local industriel. commercial ou assimilé";"None";"39.0";"0.0";"None";"None";"nan";"60159000BP0032";"60159";"000BP";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-20";"Vente";"430000";"6";"None";"RUE";"3340";"SAINT MARTIN";"60200";"COMPIEGNE";"60";"159";"None";"BP";"32";"None";"2";"41";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"40.0";"2.0";"None";"None";"nan";"60159000BP0032";"60159";"000BP";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-20";"Vente";"430000";"6";"None";"RUE";"3340";"SAINT MARTIN";"60200";"COMPIEGNE";"60";"159";"None";"BP";"32";"None";"3";"41";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"40.0";"2.0";"None";"None";"nan";"60159000BP0032";"60159";"000BP";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-19";"Vente";"12900";"11";"None";"RUE";"3580";"DES 3 BARBEAUX";"60200";"COMPIEGNE";"60";"159";"None";"BP";"200";"None";"5";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BP0200";"60159";"000BP";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-17";"Vente";"84000";"12";"None";"RUE";"0440";"DES BONNETIERS";"60200";"COMPIEGNE";"60";"159";"None";"BP";"200";"None";"114";"25";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"25.0";"1.0";"None";"None";"nan";"60159000BP0200";"60159";"000BP";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-07";"Vente";"240000";"8";"None";"RUE";"0440";"DES BONNETIERS";"60200";"COMPIEGNE";"60";"159";"None";"BP";"200";"None";"105";"72";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"73.0";"3.0";"None";"None";"nan";"60159000BP0200";"60159";"000BP";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-07";"Vente";"240000";"11";"None";"RUE";"3580";"DES 3 BARBEAUX";"60200";"COMPIEGNE";"60";"159";"None";"BP";"200";"None";"19";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BP0200";"60159";"000BP";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-30";"Vente";"112000";"8";"None";"RUE";"0910";"DU CROISSANT";"60200";"COMPIEGNE";"60";"159";"None";"BP";"123";"None";"1";"0";"11";"31";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"28.0";"2.0";"None";"None";"nan";"60159000BP0123";"60159";"000BP";9
