Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-19";"Vente";"4500";"11";"None";"RUE";"0310";"D AUSTERLITZ";"60200";"COMPIEGNE";"60";"159";"None";"BR";"103";"None";"46";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"92.0";"2.0";"None";"None";"nan";"60159000BR0103";"60159";"000BR";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-28";"Vente";"250000";"11";"None";"RUE";"0310";"D AUSTERLITZ";"60200";"COMPIEGNE";"60";"159";"None";"BR";"103";"None";"18";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"38.0";"2.0";"None";"None";"nan";"60159000BR0103";"60159";"000BR";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-28";"Vente";"250000";"11";"None";"RUE";"0310";"D AUSTERLITZ";"60200";"COMPIEGNE";"60";"159";"None";"BR";"103";"None";"17";"None";"30";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"86.0";"3.0";"None";"None";"nan";"60159000BR0103";"60159";"000BR";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-28";"Vente";"250000";"11";"None";"RUE";"0310";"D AUSTERLITZ";"60200";"COMPIEGNE";"60";"159";"None";"BR";"103";"None";"44";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BR0103";"60159";"000BR";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-03";"Vente";"57000";"6";"None";"RUE";"1800";"DU HARLAY";"60200";"COMPIEGNE";"60";"159";"None";"BR";"25";"None";"21";"14";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"30.0";"1.0";"None";"None";"nan";"60159000BR0025";"60159";"000BR";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-22";"Vente";"160000";"20";"None";"RUE";"3500";"SOLFERINO";"60200";"COMPIEGNE";"60";"159";"None";"BR";"40";"None";"5";"None";"9";"None";"None";"None";"None";"None";"None";"None";"2";"4.0";"Local industriel. commercial ou assimilé";"None";"60.0";"0.0";"None";"None";"nan";"60159000BR0040";"60159";"000BR";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-22";"Vente";"160000";"None";"None";"None";"B064";"LA VILLE";"60200";"COMPIEGNE";"60";"159";"None";"BR";"42";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"82.0";"60159000BR0042";"60159";"000BR";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-22";"Vente";"160000";"None";"None";"RUE";"3500";"SOLFERINO";"60200";"COMPIEGNE";"60";"159";"None";"BR";"43";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"900.0";"60159000BR0043";"60159";"000BR";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-08";"Vente";"725000";"18";"None";"RUE";"0480";"DE BOUVINES";"60200";"COMPIEGNE";"60";"159";"None";"BR";"168";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"610.0";"0.0";"S";"None";"1045.0";"60159000BR0168";"60159";"000BR";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-08";"Vente";"725000";"18";"None";"RUE";"0480";"DE BOUVINES";"60200";"COMPIEGNE";"60";"159";"None";"BR";"168";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"167.0";"4.0";"S";"None";"1045.0";"60159000BR0168";"60159";"000BR";8
