Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-07";"Vente";"220500";"1";"None";"RUE";"2740";"DU PETIT MARGNY";"60200";"COMPIEGNE";"60";"159";"None";"BS";"16";"None";"10";"0";"39";"82";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"None";"82";"4";"None";"None";"nan";"60159000BS0016";"60159";"000BS";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-20";"Vente";"180000";"26";"None";"RUE";"0800";"DE CLERMONT";"60200";"COMPIEGNE";"60";"159";"None";"BS";"7";"None";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"None";"0";"0";"None";"None";"nan";"60159000BS0007";"60159";"000BS";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-20";"Vente";"180000";"26";"None";"RUE";"0800";"DE CLERMONT";"60200";"COMPIEGNE";"60";"159";"None";"BS";"7";"None";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"None";"0";"0";"None";"None";"nan";"60159000BS0007";"60159";"000BS";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-22";"Vente";"316000";"8";"None";"RUE";"2740";"DU PETIT MARGNY";"60200";"COMPIEGNE";"60";"159";"None";"BS";"28";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"None";"88";"5";"S";"None";"235.0";"60159000BS0028";"60159";"000BS";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-05-12";"Vente";"115000";"30";"None";"RUE";"0800";"DE CLERMONT";"60200";"COMPIEGNE";"60";"159";"None";"BS";"50";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"None";"76";"3";"S";"None";"71.0";"60159000BS0050";"60159";"000BS";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-22";"Vente";"340000";"10";"None";"QUAI";"3610";"DE VENETTE";"60200";"COMPIEGNE";"60";"159";"None";"BS";"37";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"None";"170";"4";"S";"None";"446.0";"60159000BS0037";"60159";"000BS";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-03-12";"Vente";"60000";"22";"B";"RUE";"0800";"DE CLERMONT";"60200";"COMPIEGNE";"60";"159";"None";"BS";"15";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"None";"64";"3";"S";"None";"152.0";"60159000BS0015";"60159";"000BS";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-03-17";"Vente";"106000";"1";"None";"RUE";"2740";"DU PETIT MARGNY";"60200";"COMPIEGNE";"60";"159";"None";"BS";"16";"None";"43";"39";"57";"None";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"None";"38";"2";"None";"None";"nan";"60159000BS0016";"60159";"000BS";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-05-28";"Vente";"190000";"26";"None";"RUE";"0800";"DE CLERMONT";"60200";"COMPIEGNE";"60";"159";"None";"BS";"7";"None";"9";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"None";"11";"0";"None";"None";"nan";"60159000BS0007";"60159";"000BS";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-05-28";"Vente";"190000";"26";"None";"RUE";"0800";"DE CLERMONT";"60200";"COMPIEGNE";"60";"159";"None";"BS";"7";"None";"8";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"None";"11";"0";"None";"None";"nan";"60159000BS0007";"60159";"000BS";8
