Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-16";"Vente";"80000";"None";"None";"None";"B031";"FBG DU PETIT MARGNY";"60200";"COMPIEGNE";"60";"159";"None";"BT";"85";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"160";"60159000BT0085";"60159";"000BT";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-16";"Vente";"195200";"None";"None";"None";"B031";"FBG DU PETIT MARGNY";"60200";"COMPIEGNE";"60";"159";"None";"BT";"123";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"229";"60159000BT0123";"60159";"000BT";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-12";"Vente";"175000";"4";"T";"AV";"0640";"DU CHEMIN DE FER";"60200";"COMPIEGNE";"60";"159";"None";"BT";"32";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"77.0";"4.0";"S";"None";"206";"60159000BT0032";"60159";"000BT";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-12";"Vente";"175000";"None";"None";"None";"B031";"FBG DU PETIT MARGNY";"60200";"COMPIEGNE";"60";"159";"None";"BT";"34";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"30";"60159000BT0034";"60159";"000BT";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-07";"Vente";"305000";"6";"B";"RUE";"0420";"BERANGER";"60200";"COMPIEGNE";"60";"159";"None";"BT";"25";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"179.0";"7.0";"S";"None";"457";"60159000BT0025";"60159";"000BT";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-10-14";"Vente";"230000";"4";"None";"RUE";"0660";"CHENEVAL";"60200";"COMPIEGNE";"60";"159";"None";"BT";"72";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"338";"60159000BT0072";"60159";"000BT";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-10-14";"Vente";"230000";"4";"None";"RUE";"0660";"CHENEVAL";"60200";"COMPIEGNE";"60";"159";"None";"BT";"72";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"36.0";"2.0";"S";"None";"338";"60159000BT0072";"60159";"000BT";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-10-14";"Vente";"230000";"4";"None";"RUE";"0660";"CHENEVAL";"60200";"COMPIEGNE";"60";"159";"None";"BT";"72";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"36.0";"2.0";"S";"None";"338";"60159000BT0072";"60159";"000BT";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-10-14";"Vente";"230000";"4";"None";"RUE";"0660";"CHENEVAL";"60200";"COMPIEGNE";"60";"159";"None";"BT";"72";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"338";"60159000BT0072";"60159";"000BT";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-10-14";"Vente";"230000";"4";"None";"RUE";"0660";"CHENEVAL";"60200";"COMPIEGNE";"60";"159";"None";"BT";"72";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"338";"60159000BT0072";"60159";"000BT";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-10-14";"Vente";"230000";"4";"None";"RUE";"0660";"CHENEVAL";"60200";"COMPIEGNE";"60";"159";"None";"BT";"72";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"338";"60159000BT0072";"60159";"000BT";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-10-14";"Vente";"230000";"4";"None";"RUE";"0660";"CHENEVAL";"60200";"COMPIEGNE";"60";"159";"None";"BT";"72";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"338";"60159000BT0072";"60159";"000BT";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-10-14";"Vente";"230000";"4";"None";"RUE";"0660";"CHENEVAL";"60200";"COMPIEGNE";"60";"159";"None";"BT";"72";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"39.0";"2.0";"S";"None";"338";"60159000BT0072";"60159";"000BT";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-04-17";"Vente";"350000";"4";"B";"AV";"0640";"DU CHEMIN DE FER";"60200";"COMPIEGNE";"60";"159";"None";"BT";"31";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"107.0";"5.0";"S";"None";"275";"60159000BT0031";"60159";"000BT";13
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-06-30";"Vente";"249000";"14";"None";"RUE";"0420";"BERANGER";"60200";"COMPIEGNE";"60";"159";"None";"BT";"30";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"107.0";"4.0";"S";"None";"183";"60159000BT0030";"60159";"000BT";14
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-07-31";"Vente";"424000";"4";"None";"RUE";"0420";"BERANGER";"60200";"COMPIEGNE";"60";"159";"None";"BT";"23";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"155.0";"6.0";"S";"None";"285";"60159000BT0023";"60159";"000BT";15
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-07-31";"Vente";"424000";"9001";"None";"RUE";"0420";"BERANGER";"60200";"COMPIEGNE";"60";"159";"None";"BT";"93";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"20";"60159000BT0093";"60159";"000BT";15
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-08-11";"Vente";"157000";"8";"None";"RUE";"0420";"BERANGER";"60200";"COMPIEGNE";"60";"159";"None";"BT";"26";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"48.0";"3.0";"S";"None";"137";"60159000BT0026";"60159";"000BT";17
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-08-29";"Vente";"190000";"2";"None";"RUE";"0660";"CHENEVAL";"60200";"COMPIEGNE";"60";"159";"None";"BT";"71";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"116.0";"6.0";"S";"None";"165";"60159000BT0071";"60159";"000BT";18
"None";"None";"None";"None";"None";"None";"None";"000003";"2015-12-12";"Vente";"260000";"36";"None";"AV";"0130";"ALPHONSE CHOVET";"60200";"COMPIEGNE";"60";"159";"None";"BT";"8";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"177.0";"7.0";"S";"None";"54";"60159000BT0008";"60159";"000BT";19
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-23";"Vente";"70000";"None";"None";"None";"B031";"FBG DU PETIT MARGNY";"60200";"COMPIEGNE";"60";"159";"None";"BT";"34";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"30";"60159000BT0034";"60159";"000BT";20
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-23";"Vente";"70000";"6";"B";"AV";"0640";"DU CHEMIN DE FER";"60200";"COMPIEGNE";"60";"159";"None";"BT";"35";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"34.0";"2.0";"S";"None";"137";"60159000BT0035";"60159";"000BT";20
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-03-30";"Vente";"172500";"None";"None";"None";"B031";"FBG DU PETIT MARGNY";"60200";"COMPIEGNE";"60";"159";"None";"BT";"84";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"182";"60159000BT0084";"60159";"000BT";22
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-05-13";"Vente";"485000";"15";"None";"AV";"0130";"ALPHONSE CHOVET";"60200";"COMPIEGNE";"60";"159";"None";"BT";"21";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"140.0";"6.0";"S";"None";"422";"60159000BT0021";"60159";"000BT";23
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-05-27";"Vente";"305000";"6";"None";"AV";"0640";"DU CHEMIN DE FER";"60200";"COMPIEGNE";"60";"159";"None";"BT";"33";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"120.0";"6.0";"S";"None";"158";"60159000BT0033";"60159";"000BT";24
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-07-26";"Vente";"265000";"5";"None";"RUE";"0290";"AUGUSTE BOYENVAL";"60200";"COMPIEGNE";"60";"159";"None";"BT";"59";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"88.0";"5.0";"S";"None";"134";"60159000BT0059";"60159";"000BT";25
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-11-19";"Vente";"296987";"40";"None";"AV";"0130";"ALPHONSE CHOVET";"60200";"COMPIEGNE";"60";"159";"None";"BT";"6";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"130.0";"5.0";"S";"None";"94";"60159000BT0006";"60159";"000BT";26
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-12-14";"Vente";"285000";"18";"None";"AV";"0640";"DU CHEMIN DE FER";"60200";"COMPIEGNE";"60";"159";"None";"BT";"68";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"129.0";"5.0";"S";"None";"451";"60159000BT0068";"60159";"000BT";27
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-03-10";"Vente";"371000";"24";"None";"AV";"0640";"DU CHEMIN DE FER";"60200";"COMPIEGNE";"60";"159";"None";"BT";"70";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"135.0";"6.0";"S";"None";"237";"60159000BT0070";"60159";"000BT";28
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-07-07";"Vente";"290000";"3";"None";"RUE";"0290";"AUGUSTE BOYENVAL";"60200";"COMPIEGNE";"60";"159";"None";"BT";"60";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"95.0";"4.0";"S";"None";"143";"60159000BT0060";"60159";"000BT";29
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-07-07";"Vente";"290000";"None";"None";"RUE";"0290";"AUGUSTE BOYENVAL";"60200";"COMPIEGNE";"60";"159";"None";"BT";"90";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"37";"60159000BT0090";"60159";"000BT";29
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-09-29";"Vente";"492500";"None";"None";"None";"B031";"FBG DU PETIT MARGNY";"60200";"COMPIEGNE";"60";"159";"None";"BT";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"J";"POTAG";"10";"60159000BT0001";"60159";"000BT";31
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-09-29";"Vente";"492500";"None";"None";"None";"B031";"FBG DU PETIT MARGNY";"60200";"COMPIEGNE";"60";"159";"None";"BT";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"50";"60159000BT0002";"60159";"000BT";31
