Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-10";"Vente";"495000";"18";"None";"AV";"0130";"ALPHONSE CHOVET";"60200";"COMPIEGNE";"60";"159";"None";"BV";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"235.0";"7.0";"S";"None";"645.0";"60159000BV0003";"60159";"000BV";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-06";"Vente";"105000";"2";"T";"AV";"0640";"DU CHEMIN DE FER";"60200";"COMPIEGNE";"60";"159";"None";"BV";"42";"None";"185";"43";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"45.0";"2.0";"None";"None";"nan";"60159000BV0042";"60159";"000BV";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-11-13";"Vente";"117316";"2";"T";"AV";"0640";"DU CHEMIN DE FER";"60200";"COMPIEGNE";"60";"159";"None";"BV";"42";"None";"97";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BV0042";"60159";"000BV";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-11-13";"Vente";"117316";"2";"T";"AV";"0640";"DU CHEMIN DE FER";"60200";"COMPIEGNE";"60";"159";"None";"BV";"42";"None";"200";"39";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"42.0";"2.0";"None";"None";"nan";"60159000BV0042";"60159";"000BV";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-11-08";"Vente";"47500";"1";"B";"AV";"0130";"ALPHONSE CHOVET";"60200";"COMPIEGNE";"60";"159";"None";"BV";"69";"None";"22";"0";"8";"21";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"23.0";"1.0";"None";"None";"nan";"60159000BV0069";"60159";"000BV";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-12-10";"Vente";"78000";"28";"Q";"RUE";"0150";"D AMIENS";"60200";"COMPIEGNE";"60";"159";"None";"BV";"26";"None";"140";"32";"175";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"30.0";"1.0";"None";"None";"nan";"60159000BV0026";"60159";"000BV";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-12-22";"Vente";"2295000";"34";"None";"RUE";"0150";"D AMIENS";"60200";"COMPIEGNE";"60";"159";"None";"BV";"20";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"700.0";"60159000BV0020";"60159";"000BV";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-12-22";"Vente";"2295000";"34";"None";"RUE";"0150";"D AMIENS";"60200";"COMPIEGNE";"60";"159";"None";"BV";"20";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"700.0";"60159000BV0020";"60159";"000BV";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-12-22";"Vente";"2295000";"34";"None";"RUE";"0150";"D AMIENS";"60200";"COMPIEGNE";"60";"159";"None";"BV";"20";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"83.0";"4.0";"S";"None";"700.0";"60159000BV0020";"60159";"000BV";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-12-22";"Vente";"2295000";"34";"None";"RUE";"0150";"D AMIENS";"60200";"COMPIEGNE";"60";"159";"None";"BV";"20";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"67.0";"3.0";"S";"None";"700.0";"60159000BV0020";"60159";"000BV";6
