Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"96000";"1";"None";"RUE";"2580";"DE NOYON";"60200";"COMPIEGNE";"60";"159";"None";"BW";"1";"None";"37";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"88.0";"3.0";"None";"None";"nan";"60159000BW0001";"60159";"000BW";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"880000";"4";"None";"RUE";"0800";"DE CLERMONT";"60200";"COMPIEGNE";"60";"159";"None";"BW";"48";"None";"4";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BW0048";"60159";"000BW";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"880000";"4";"None";"RUE";"0800";"DE CLERMONT";"60200";"COMPIEGNE";"60";"159";"None";"BW";"48";"None";"3";"67";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"108.0";"4.0";"None";"None";"nan";"60159000BW0048";"60159";"000BW";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"880000";"4";"None";"RUE";"0800";"DE CLERMONT";"60200";"COMPIEGNE";"60";"159";"None";"BW";"48";"None";"5";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BW0048";"60159";"000BW";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"880000";"4";"None";"RUE";"0800";"DE CLERMONT";"60200";"COMPIEGNE";"60";"159";"None";"BW";"48";"None";"7";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BW0048";"60159";"000BW";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"880000";"4";"None";"RUE";"0800";"DE CLERMONT";"60200";"COMPIEGNE";"60";"159";"None";"BW";"48";"None";"1";"186";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4.0";"Local industriel. commercial ou assimilé";"None";"325.0";"0.0";"None";"None";"nan";"60159000BW0048";"60159";"000BW";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"880000";"4";"None";"RUE";"0800";"DE CLERMONT";"60200";"COMPIEGNE";"60";"159";"None";"BW";"48";"None";"11";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BW0048";"60159";"000BW";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"880000";"4";"None";"RUE";"0800";"DE CLERMONT";"60200";"COMPIEGNE";"60";"159";"None";"BW";"48";"None";"2";"87";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"108.0";"4.0";"None";"None";"nan";"60159000BW0048";"60159";"000BW";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"880000";"4";"None";"RUE";"0800";"DE CLERMONT";"60200";"COMPIEGNE";"60";"159";"None";"BW";"48";"None";"6";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BW0048";"60159";"000BW";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"880000";"4";"None";"RUE";"0800";"DE CLERMONT";"60200";"COMPIEGNE";"60";"159";"None";"BW";"48";"None";"10";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BW0048";"60159";"000BW";1
