Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-23";"Vente";"92000";"10";"None";"RUE";"2130";"LE FERON";"60200";"COMPIEGNE";"60";"159";"None";"BX";"62";"None";"1";"36";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"37.0";"1.0";"None";"None";"nan";"60159000BX0062";"60159";"000BX";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-17";"Vente";"152000";"None";"None";"RUE";"1190";"EUGENE FLOQUET";"60200";"COMPIEGNE";"60";"159";"None";"BX";"124";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"22.0";"60159000BX0124";"60159";"000BX";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-17";"Vente";"152000";"39";"None";"RUE";"3500";"SOLFERINO";"60200";"COMPIEGNE";"60";"159";"None";"BX";"127";"None";"24";"84";"25";"None";"26";"None";"None";"None";"None";"None";"3";"2.0";"Appartement";"None";"65.0";"2.0";"None";"None";"nan";"60159000BX0127";"60159";"000BX";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-27";"Vente";"132000";"31";"None";"CRS";"1790";"GUYNEMER";"60200";"COMPIEGNE";"60";"159";"None";"BX";"24";"None";"16";"63";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"65.0";"2.0";"None";"None";"nan";"60159000BX0024";"60159";"000BX";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"100000";"1";"B";"RUE";"2810";"PIERRE SAUVAGE";"60200";"COMPIEGNE";"60";"159";"None";"BX";"27";"None";"18";"50";"44";"0";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"52.0";"2.0";"None";"None";"nan";"60159000BX0027";"60159";"000BX";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-27";"Vente";"70500";"21";"None";"RUE";"1921";"DE LA HUITIEME DIVISION";"60200";"COMPIEGNE";"60";"159";"None";"BX";"30";"None";"37";"26";"39";"0";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"31.0";"1.0";"None";"None";"nan";"60159000BX0030";"60159";"000BX";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-07";"Vente";"300000";"17";"None";"RUE";"1190";"EUGENE FLOQUET";"60200";"COMPIEGNE";"60";"159";"None";"BX";"200";"None";"10";"97";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"100.0";"5.0";"None";"None";"nan";"60159000BX0200";"60159";"000BX";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-26";"Vente";"166000";"20";"None";"RUE";"2810";"PIERRE SAUVAGE";"60200";"COMPIEGNE";"60";"159";"None";"BX";"106";"None";"20";"None";"25";"80";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"81.0";"3.0";"None";"None";"nan";"60159000BX0106";"60159";"000BX";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-05-10";"Vente";"179870";"31";"None";"CRS";"1790";"GUYNEMER";"60200";"COMPIEGNE";"60";"159";"None";"BX";"24";"None";"15";"81";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"82.0";"3.0";"None";"None";"nan";"60159000BX0024";"60159";"000BX";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-06";"Vente";"59500";"23";"None";"RUE";"2810";"PIERRE SAUVAGE";"60200";"COMPIEGNE";"60";"159";"None";"BX";"49";"None";"11";"21";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"28.0";"2.0";"None";"None";"nan";"60159000BX0049";"60159";"000BX";9
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-19";"Vente";"80000";"23";"None";"RUE";"2810";"PIERRE SAUVAGE";"60200";"COMPIEGNE";"60";"159";"None";"BX";"49";"None";"10";"23";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"24.0";"1.0";"None";"None";"nan";"60159000BX0049";"60159";"000BX";10
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-30";"Vente";"81000";"25";"None";"RUE";"2810";"PIERRE SAUVAGE";"60200";"COMPIEGNE";"60";"159";"None";"BX";"50";"None";"16";"34";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"41.0";"2.0";"None";"None";"nan";"60159000BX0050";"60159";"000BX";11
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-01";"Vente en l'état futur d'achèvement";"5616000";"None";"None";"None";"B064";"LA VILLE";"60200";"COMPIEGNE";"60";"159";"None";"BX";"133";"24";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"None";"None";"nan";"60159000BX0133";"60159";"000BX";12
