Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-03";"Vente";"361000";"7";"None";"CRS";"1790";"GUYNEMER";"60200";"COMPIEGNE";"60";"159";"None";"BY";"90";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"74.0";"4.0";"S";"None";"187.0";"60159000BY0090";"60159";"000BY";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-03";"Vente";"361000";"7";"None";"CRS";"1790";"GUYNEMER";"60200";"COMPIEGNE";"60";"159";"None";"BY";"90";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"187.0";"60159000BY0090";"60159";"000BY";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-03";"Vente";"361000";"7";"None";"CRS";"1790";"GUYNEMER";"60200";"COMPIEGNE";"60";"159";"None";"BY";"90";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"75.0";"4.0";"S";"None";"187.0";"60159000BY0090";"60159";"000BY";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-03";"Vente";"361000";"7";"None";"CRS";"1790";"GUYNEMER";"60200";"COMPIEGNE";"60";"159";"None";"BY";"90";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"3.0";"Dépendance";"None";"0.0";"0.0";"S";"None";"187.0";"60159000BY0090";"60159";"000BY";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-25";"Vente";"1700";"2";"None";"RUE";"2630";"OTHENIN";"60200";"COMPIEGNE";"60";"159";"None";"BY";"88";"None";"18";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000BY0088";"60159";"000BY";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-30";"Vente";"85000";"4";"None";"RUE";"2630";"OTHENIN";"60200";"COMPIEGNE";"60";"159";"None";"BY";"87";"None";"6";"51";"9";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"49.0";"3.0";"None";"None";"nan";"60159000BY0087";"60159";"000BY";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-17";"Vente";"85000";"10";"None";"RUE";"3590";"D ULM";"60200";"COMPIEGNE";"60";"159";"None";"BY";"47";"None";"15";"35";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"35.0";"1.0";"None";"None";"nan";"60159000BY0047";"60159";"000BY";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-29";"Vente";"460000";"2";"B";"RUE";"2160";"DU LT RENE DUCLOUX";"60200";"COMPIEGNE";"60";"159";"None";"BY";"15";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"145.0";"7.0";"S";"None";"276.0";"60159000BY0015";"60159";"000BY";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-03";"Vente";"75000";"16";"None";"RUE";"3590";"D ULM";"60200";"COMPIEGNE";"60";"159";"None";"BY";"57";"None";"10";"29";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"34.0";"1.0";"None";"None";"nan";"60159000BY0057";"60159";"000BY";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-03";"Vente";"75000";"16";"None";"RUE";"3590";"D ULM";"60200";"COMPIEGNE";"60";"159";"None";"BY";"57";"None";"15";"0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"nan";"None";"None";"nan";"nan";"S";"None";"14.0";"60159000BY0057";"60159";"000BY";8
