Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-27";"Vente";"170000";"10";"None";"RUE";"0560";"DE CAYROL";"60200";"COMPIEGNE";"60";"159";"None";"BZ";"244";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"70.0";"4.0";"S";"None";"198.0";"60159000BZ0244";"60159";"000BZ";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-14";"Vente";"110000";"6";"None";"RUE";"1810";"DE LA HAUTE BORNE";"60200";"COMPIEGNE";"60";"159";"None";"BZ";"124";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"30.0";"3.0";"S";"None";"242.0";"60159000BZ0124";"60159";"000BZ";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-06-06";"Vente";"186000";"6";"None";"SQ";"2260";"MARCEL FORESTIER";"60200";"COMPIEGNE";"60";"159";"None";"BZ";"317";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"65.0";"4.0";"S";"None";"186.0";"60159000BZ0317";"60159";"000BZ";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-07-11";"Vente";"157000";"19";"None";"RUE";"2510";"DU MONT GANELON";"60200";"COMPIEGNE";"60";"159";"None";"BZ";"104";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"58.0";"3.0";"S";"None";"237.0";"60159000BZ0104";"60159";"000BZ";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-01";"Vente";"75000";"14";"None";"RUE";"0080";"DE L AISNE";"60200";"COMPIEGNE";"60";"159";"None";"BZ";"11";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"64.0";"3.0";"S";"None";"105.0";"60159000BZ0011";"60159";"000BZ";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-01";"Vente";"75000";"None";"None";"None";"B002";"LA BANNIERE DU ROI";"60200";"COMPIEGNE";"60";"159";"None";"BZ";"15";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"J";"POTAG";"138.0";"60159000BZ0015";"60159";"000BZ";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-08-22";"Vente";"148000";"33";"None";"RUE";"2510";"DU MONT GANELON";"60200";"COMPIEGNE";"60";"159";"None";"BZ";"111";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"55.0";"3.0";"S";"None";"209.0";"60159000BZ0111";"60159";"000BZ";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-09-24";"Vente";"56000";"2";"None";"RUE";"0370";"DE LA BANNIERE DU ROY";"60200";"COMPIEGNE";"60";"159";"None";"BZ";"352";"None";"6";"16";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"20.0";"1.0";"None";"None";"nan";"60159000BZ0352";"60159";"000BZ";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-10-01";"Vente";"50000";"2";"None";"RUE";"0370";"DE LA BANNIERE DU ROY";"60200";"COMPIEGNE";"60";"159";"None";"BZ";"352";"None";"5";"17";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"20.0";"1.0";"None";"None";"nan";"60159000BZ0352";"60159";"000BZ";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-11-08";"Vente";"200000";"19";"None";"RUE";"0620";"CHARMOLUE";"60200";"COMPIEGNE";"60";"159";"None";"BZ";"295";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"60.0";"4.0";"S";"None";"141.0";"60159000BZ0295";"60159";"000BZ";9
