Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"750000";"26";"None";"RUE";"2730";"DU PETIT CHATEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"284";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"41.0";"2.0";"S";"None";"898.0";"60159000CA0284";"60159";"000CA";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"750000";"26";"None";"RUE";"2730";"DU PETIT CHATEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"284";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"225.0";"7.0";"S";"None";"898.0";"60159000CA0284";"60159";"000CA";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"175000";"68";"C";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"341";"None";"37";"0";"4";"69";"63";"0";"None";"None";"None";"None";"3";"2.0";"Appartement";"None";"70.0";"2.0";"None";"None";"nan";"60159000CA0341";"60159";"000CA";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"325000";"18";"None";"RUE";"2730";"DU PETIT CHATEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"375";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"280.0";"9.0";"S";"None";"541.0";"60159000CA0375";"60159";"000CA";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"375000";"18";"None";"RUE";"2730";"DU PETIT CHATEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"376";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AG";"None";"597.0";"60159000CA0376";"60159";"000CA";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-02-28";"Vente";"375000";"18";"None";"RUE";"2730";"DU PETIT CHATEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"376";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"500.0";"60159000CA0376";"60159";"000CA";4
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"13.0";"1.0";"AG";"None";"1096.0";"60159000CA0377";"60159";"000CA";6
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"10.0";"1.0";"S";"None";"110.0";"60159000CA0377";"60159";"000CA";6
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"13.0";"1.0";"S";"None";"110.0";"60159000CA0377";"60159";"000CA";6
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"20.0";"1.0";"S";"None";"110.0";"60159000CA0377";"60159";"000CA";6
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"12.0";"1.0";"AG";"None";"1096.0";"60159000CA0377";"60159";"000CA";6
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"12.0";"1.0";"S";"None";"110.0";"60159000CA0377";"60159";"000CA";6
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"13.0";"1.0";"AG";"None";"1096.0";"60159000CA0377";"60159";"000CA";6
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"13.0";"1.0";"AG";"None";"1096.0";"60159000CA0377";"60159";"000CA";6
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"13.0";"1.0";"S";"None";"110.0";"60159000CA0377";"60159";"000CA";6
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"13.0";"1.0";"AG";"None";"1096.0";"60159000CA0377";"60159";"000CA";6
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"18.0";"1.0";"AG";"None";"1096.0";"60159000CA0377";"60159";"000CA";6
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"20.0";"1.0";"AG";"None";"1096.0";"60159000CA0377";"60159";"000CA";6
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"13.0";"1.0";"AG";"None";"1096.0";"60159000CA0377";"60159";"000CA";6
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"10.0";"1.0";"AG";"None";"1096.0";"60159000CA0377";"60159";"000CA";6
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"13.0";"1.0";"S";"None";"110.0";"60159000CA0377";"60159";"000CA";6
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"13.0";"1.0";"S";"None";"110.0";"60159000CA0377";"60159";"000CA";6
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"18.0";"1.0";"S";"None";"110.0";"60159000CA0377";"60159";"000CA";6
"None";"None";"None";"None";"None";"None";"None";"000002";"2014-02-28";"Vente";"300000";"23";"None";"AV";"2910";"DU PDT G CLEMENCEAU";"60200";"COMPIEGNE";"60";"159";"None";"CA";"377";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"2.0";"Appartement";"None";"13.0";"1.0";"S";"None";"110.0";"60159000CA0377";"60159";"000CA";6
