Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-01-30";"Vente";"130000";"5";"None";"RUE";"0530";"DU CAMP DE COMPIEGNE";"60200";"COMPIEGNE";"60";"159";"None";"CB";"36";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"70.0";"3.0";"S";"None";"278";"60159000CB0036";"60159";"000CB";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-12";"Vente";"2400";"None";"None";"None";"B004";"BELLICART";"60200";"COMPIEGNE";"60";"159";"None";"CB";"59";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"30";"60159000CB0059";"60159";"000CB";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-03-28";"Vente";"150000";"46";"None";"RUE";"0380";"BATAILLON DE FRANCE";"60200";"COMPIEGNE";"60";"159";"None";"CB";"147";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"424.0";"0.0";"S";"None";"1014";"60159000CB0147";"60159";"000CB";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-01";"Vente";"211600";"None";"None";"AV";"0220";"DE L ARMISTICE";"60200";"COMPIEGNE";"60";"159";"None";"CB";"157";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"589";"60159000CB0157";"60159";"000CB";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-01";"Vente";"211600";"None";"None";"AV";"0220";"DE L ARMISTICE";"60200";"COMPIEGNE";"60";"159";"None";"CB";"159";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"756";"60159000CB0159";"60159";"000CB";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-01";"Vente";"211600";"2";"None";"AV";"0220";"DE L ARMISTICE";"60200";"COMPIEGNE";"60";"159";"None";"CB";"160";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"54.0";"2.0";"S";"None";"2886";"60159000CB0160";"60159";"000CB";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-01";"Vente";"211600";"2";"None";"AV";"0220";"DE L ARMISTICE";"60200";"COMPIEGNE";"60";"159";"None";"CB";"160";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4.0";"Local industriel. commercial ou assimilé";"None";"157.0";"0.0";"S";"None";"2886";"60159000CB0160";"60159";"000CB";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-04-01";"Vente";"211600";"None";"None";"AV";"0220";"DE L ARMISTICE";"60200";"COMPIEGNE";"60";"159";"None";"CB";"161";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"S";"None";"458";"60159000CB0161";"60159";"000CB";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-10-18";"Vente";"95000";"7";"None";"RUE";"0530";"DU CAMP DE COMPIEGNE";"60200";"COMPIEGNE";"60";"159";"None";"CB";"37";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"51.0";"3.0";"S";"None";"280";"60159000CB0037";"60159";"000CB";8
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-07-01";"Vente";"62000";"11";"None";"RUE";"0380";"BATAILLON DE FRANCE";"60200";"COMPIEGNE";"60";"159";"None";"CB";"107";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"45.0";"3.0";"S";"None";"226";"60159000CB0107";"60159";"000CB";9
