Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000003";"2014-04-03";"Vente";"3650000";"None";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"10";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AB";"None";"7600.0";"60159000CI0010";"60159";"000CI";0
"None";"None";"None";"None";"None";"None";"None";"000003";"2014-04-03";"Vente";"3650000";"None";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"11";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AB";"None";"29240.0";"60159000CI0011";"60159";"000CI";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2014-09-02";"Vente";"356842";"None";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"10";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AB";"None";"7600.0";"60159000CI0010";"60159";"000CI";2
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-19";"Vente en l'état futur d'achèvement";"147000";"None";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"12";"None";"61";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"48.0";"2.0";"None";"None";"nan";"60159000CI0012";"60159";"000CI";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-19";"Vente en l'état futur d'achèvement";"147000";"None";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"12";"None";"41";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000CI0012";"60159";"000CI";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-19";"Vente en l'état futur d'achèvement";"151000";"None";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"12";"None";"67";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"48.0";"2.0";"None";"None";"nan";"60159000CI0012";"60159";"000CI";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-19";"Vente en l'état futur d'achèvement";"151000";"None";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"12";"None";"42";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000CI0012";"60159";"000CI";5
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-19";"Vente en l'état futur d'achèvement";"211000";"None";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"12";"None";"74";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"68.0";"3.0";"None";"None";"nan";"60159000CI0012";"60159";"000CI";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-19";"Vente en l'état futur d'achèvement";"211000";"None";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"12";"None";"30";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000CI0012";"60159";"000CI";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-24";"Vente en l'état futur d'achèvement";"224000";"None";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"19";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"nan";"None";"None";"nan";"nan";"AB";"None";"285.0";"60159000CI0019";"60159";"000CI";9
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-24";"Vente en l'état futur d'achèvement";"151000";"None";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"12";"None";"29";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000CI0012";"60159";"000CI";10
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-24";"Vente en l'état futur d'achèvement";"151000";"None";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"12";"None";"71";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"48.0";"2.0";"None";"None";"nan";"60159000CI0012";"60159";"000CI";10
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"90.0";"4.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"90.0";"4.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"90.0";"4.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"90.0";"4.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"90.0";"4.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"90.0";"4.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"104.0";"5.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"104.0";"5.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"104.0";"5.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"90.0";"4.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"104.0";"5.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"104.0";"5.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"90.0";"4.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"104.0";"5.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"104.0";"5.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"104.0";"5.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"104.0";"5.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"104.0";"5.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"90.0";"4.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
"None";"None";"None";"None";"None";"None";"None";"000001";"2015-12-29";"Vente";"2880000";"37";"None";"RTE";"1296";"FORESTIERE DU MOULIN";"60200";"COMPIEGNE";"60";"159";"None";"CI";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"90.0";"4.0";"S";"None";"13042.0";"60159000CI0005";"60159";"000CI";12
